"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","WAR14","Cluster"
"Woody Williams","   1190","0.2","0.5","0.3","0.9","1.4","1.3","1.5","1.9","2","1.9","4.5","2.9","1.1","1.2","B"
"Floyd Bannister","1000516","1.7","0","2.3","4.2","1.8","4.9","5","2","2.5","2.5","2.3","1.2","0.6","0","E"
"Rollie Fingers","1004051","0.2","1.6","1","1.5","2.4","3.3","2.2","4.1","2.1","2.3","0.3","2","2.6","2.4","B"
"Chuck Finley","    384","0.5","0.7","2.4","3.8","4.8","2.9","1.3","5.1","3.4","4.4","5","2.9","4.4","4.4","G"
"Mickey Lolich","1007712","1.9","4.4","5.1","2.2","4.6","3.2","6","5.1","8.3","6.1","5.4","4.5","4.9","3","K"
"Tim Hudson","    921","3.8","3.5","5.1","4.7","5.8","4.6","1.8","2.5","4.9","1.9","0.6","1.7","2.8","1.6","D"
"Tug McGraw","1008545","0.1","-0.4","1.3","0.7","2","1.6","-0.1","-0.2","0.7","1.3","1.1","1.2","0.3","2.5","A"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","5.3","6.6","5","5.1","4.5","3.8","G"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","3","0.6","-0.3","1.8","1.8","0.4","B"
"Sam McDowell","1008476","0.1","0.6","3.7","8.7","4.4","2.8","6.8","9.4","7.6","1.4","1.6","1.3","-0.5","0.5","J"
"Doug Jones","1006552","2.6","3.7","2.6","1.4","0.8","2.6","0.8","1.6","0.5","1","2.8","-0.2","1.4","1.1","C"
"Bret Saberhagen","1011355","1.9","6.2","3.5","5.2","5.5","7.5","2.9","4.4","2","3.3","5.4","1.8","2.6","3.3","D"
"Mike LaCoss","1007240","0.6","2","1.3","-0.1","0.2","0.1","1.8","0","1.9","1.4","1.6","1.6","0.6","0","A"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","1.2","2","2.3","1.8","1","2.1","B"
"Scott Sanderson","1011422","1.3","2.5","2.7","2.2","2.9","0.6","3.6","2.2","2.7","1.1","1.6","1.4","4.2","0.9","B"
"Jack Morris","1009211","0.5","0.3","3.6","3.7","2.7","2.2","6.2","4","4.7","4","4.1","4","1.4","2.9","F"
"Darren Oliver","    206","0.2","0.7","2.3","1","1.4","3.3","0.9","1.2","0.1","2.2","0","0","0.6","0.9","C"
"Bronson Arroyo","    978","0.5","0.1","3.3","2.4","4.6","3.4","2.2","1.4","1.2","-1.6","2.2","1.1","0.3","-0.7","H"
"Pedro Martinez","    200","1.7","3.4","3","5.1","8.5","5.7","11.6","9.4","5.5","7.4","7.4","4.9","6.1","2.3","K"
"Rudy May","1008310","0.4","1.9","3","3.5","2.6","1.5","2.7","4","2.2","2.2","1.1","1.4","4.1","2.4","B"
"Rheal Cormier","    952","1.5","3","1.2","0.4","1.7","2","0.9","0.8","0.3","-0.2","1.5","0.4","-0.4","0","A"
"Phil Niekro","1009583","0.4","-0.4","3.6","3.6","6.3","1.8","4.3","6","3.2","7.2","3.6","4.3","5.9","8.6","O"
"Buddy Groom","    143","0","0.1","0.2","-0.3","0.6","0.1","0.6","1.1","1.1","1.9","1.4","0","0.4","-0.1","A"
"Randy Johnson","     60","1.6","2","2.6","3.4","7","5.2","9.5","1.6","7","7.6","9.5","9.6","10.4","8.1","M"
"Aaron Sele","     34","2.6","2.4","0.4","3.3","0.8","4.7","4.9","4.3","2.7","1.3","-0.1","0.6","0.1","1.2","E"
"Ron Reed","1010773","2.6","3.9","1.5","2.9","3.1","2.5","3.3","6.9","2.2","1.7","1.8","0.5","0.9","0.2","E"
"Roberto Hernandez","    605","1.7","1.9","0.8","1","3.2","1.2","0.4","2.2","1","0.5","0.6","-1.1","-0.2","1","A"
"Milt Wilcox","1013939","0.2","0.2","0.8","-0.5","-0.1","1.5","3","2.8","2","2.8","2.4","2","3.6","0.2","B"
