Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10
Claude Osteen,1009878,-0.5,2.1,2.3,4.4,3.5,4.8,3.8,1.9,5.5,3.1
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1,7.8,6.8
Jim Maloney,1008039,0.7,-0.6,1.5,6.4,4.9,6.5,4.9,4.5,2.9,2.3
Sidney Ponson,161,1.2,1.4,3.2,1.3,1.7,4.4,3.0,1.0,0.5,-0.2
Ron Villone,1010,-0.6,-0.2,0.1,2.4,0.2,0.8,0.4,1.2,0.3,0.7
Jim Clancy,1002255,0.5,3.0,0.4,3.2,0.4,4.3,2.8,1.8,1.6,3.1
Ron Guidry,1005124,5.7,9.1,6.2,3.9,2.8,4.0,3.9,2.8,4.9,3.0
Mike Magnante,929,0.5,0.5,0.4,0.2,0.1,0.3,1.1,0.3,1.0,0.1
Jamie Moyer,1091,0.3,1.5,2.1,0.2,1.0,-0.2,3.2,1.9,1.2,1.6
Brad Ziegler,7293,0.5,1.1,0.1,1.0,0.6,0.5,0.0,0.7,1.3,0.5
Craig Lefferts,1007476,0.1,1.4,0.3,0.8,-0.2,0.6,0.6,0.5,1.4,2.6
Danny Jackson,1006295,0.7,4.6,2.9,4.3,5.2,0.9,1.7,-0.5,2.8,3.2
Joe Niekro,1009582,2.0,-0.1,1.6,1.6,0.2,0.8,0.1,0.8,0.4,1.6
Miguel Batista,46,0.0,0.7,2.0,-0.9,1.3,3.1,4.3,1.6,0.5,2.9
Hank Aguirre,1000087,2.1,-0.2,5.2,2.6,1.8,2.4,0.4,0.5,0.2,0.4
Dennis Eckersley,1003660,2.8,4.6,4.6,3.9,4.4,2.9,3.2,3.1,0.8,3.2
John Hiller,1005817,1.6,1.0,0.5,0.9,0.2,2.8,3.0,1.6,1.6,1.5
Gaylord Perry,1010210,0.5,-0.3,3.6,2.3,7.3,5.6,5.5,5.9,6.3,4.7
Rick Wise,1014155,0.0,1.9,3.4,2.0,3.7,3.8,4.6,4.8,5.1,1.0
Mike Stanton,849,0.8,0.1,0.3,0.3,-0.1,0.7,1.4,0.1,1.5,1.6
Charlie Morton,4676,0.0,1.6,-0.3,2.0,0.4,1.4,1.3,0.7,3.1,2.9
Joakim Soria,6941,2.1,1.3,1.6,1.9,0.9,1.5,0.4,0.2,1.8,1.9
Geoff Zahn,1014410,1.6,0.7,2.0,3.4,2.7,3.6,1.1,3.5,2.5,3.6
Jon Lieber,287,1.7,1.2,1.4,3.2,2.6,4.5,4.4,4.4,3.1,3.5
Don Drysdale,1003516,6.2,3.5,6.5,5.8,6.9,3.4,4.1,4.3,3.0,-0.2
Bob Patterson,1010055,1.2,0.2,1.1,0.7,-0.3,0.3,0.1,0.7,0.6,0.8
Ed Whitson,1013911,0.5,1.2,3.2,0.7,1.1,-0.1,2.6,2.0,0.2,1.1
Jason Isringhausen,1158,1.5,2.1,0.1,0.9,1.8,2.5,0.9,1.7,0.7,-0.9
John Smoltz,115,-0.4,4.0,3.6,3.7,5.0,3.9,2.1,4.6,8.4,6.7
Dick Tidrow,1013056,2.5,2.5,2.4,0.1,1.5,0.5,2.2,0.7,0.4,-0.1
Mike Morgan,67,-0.2,0.9,-0.1,2.5,3.1,0.5,2.5,2.1,4.5,3.2
Jeremy Affeldt,583,0.9,2.5,1.0,0.3,-0.5,0.4,0.4,0.5,0.1,0.0
Jason Frasor,1906,0.8,0.6,0.2,1.0,-0.1,1.4,0.9,0.1,0.2,0.7
Bill Gullickson,1005136,3.2,4.8,2.8,3.4,1.8,3.0,3.2,1.1,0.4,3.4
Steve Howe,1006107,1.7,0.7,2.0,2.2,0.2,0.5,1.2,-0.2,1.0,-0.1
Catfish Hunter,1006199,0.3,1.8,5.2,1.4,1.3,3.1,3.2,4.5,0.5,6.3
Dennys Reyes,444,0.5,1.2,0.9,0.0,0.5,0.2,1.1,-0.2,0.9,0.4
Julian Tavarez,541,-0.1,1.6,0.9,0.0,0.3,-0.3,1.5,2.2,1.0,1.1
Al Leiter,883,0.5,0.3,0.9,2.5,3.0,3.4,1.3,4.8,3.3,4.8
Doyle Alexander,1000122,0.9,1.1,0.8,0.6,1.2,1.3,1.7,1.4,1.2,2.9
Larry McWilliams,1008700,0.7,1.1,0.5,0.9,2.6,4.3,2.9,0.1,0.1,0.8
Randy Moffitt,1009027,-0.1,0.7,0.2,-0.4,0.2,1.1,0.3,-0.6,-0.3,0.4
Ron Taylor,1012885,-0.1,2.1,-0.2,0.0,0.2,0.9,0.5,0.0,0.4,0.1
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7,0.9
Troy Percival,29,2.4,2.3,1.1,1.7,0.6,0.2,2.2,1.6,0.2,0.1
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9,0.2
Juan Cruz,273,0.9,0.1,0.7,0.5,-0.2,1.6,0.6,0.5,-0.1,0.3
Ben Sheets,710,1.3,3.8,3.8,8.0,3.7,4.0,2.5,4.7,0.8,0.3
Wade Davis,7441,1.0,1.1,1.4,1.0,1.5,3.1,2.0,1.4,1.1,0.9
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1,1.3
Mike Witt,1014174,1.6,3.8,0.7,5.9,4.7,6.7,4.0,4.4,2.7,1.4
Woodie Fryman,1004381,3.0,0.3,2.9,3.0,2.4,3.1,2.7,1.7,0.9,2.3
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3,0.6,-0.2
Erik Bedard,126,2.4,3.4,4.6,5.0,1.0,2.0,2.1,1.4,1.4,0.1
Chan Ho Park,1267,1.1,2.1,3.7,1.2,3.9,4.3,1.0,-0.3,1.9,0.8
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5
Gary Lavelle,1007389,0.0,0.1,3.0,0.9,1.3,0.9,0.7,1.3,2.1,0.7
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0,2.0,0.8
Andrew Miller,6785,0.3,1.9,0.7,-0.4,-0.1,0.5,0.3,2.2,2.1,2.9
Shane Rawley,1010719,0.9,1.9,1.6,0.9,3.2,3.2,1.6,1.6,1.7,2.4
Kevin Appier,3,3.2,4.7,4.8,6.8,4.0,5.3,6.3,5.2,2.7,2.0
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4,3.1
Steve Barber,1000530,1.7,3.5,2.3,5.4,1.1,2.9,2.6,0.6,0.9,0.8
Jim Palmer,1009973,0.6,2.0,-0.1,3.7,6.2,4.6,4.4,4.6,1.9,6.9
Matt Belisle,1837,0.4,0.0,2.4,0.0,2.0,1.2,1.8,1.3,0.4,0.1
Denny Neagle,441,-0.1,0.4,1.8,4.2,3.4,5.2,3.1,0.3,2.5,2.3
Hideo Nomo,666,5.2,4.4,3.4,1.4,2.1,2.1,3.0,2.9,3.3,-0.4
Rick Reed,750,0.6,0.4,1.1,3.6,3.0,1.5,2.6,3.3,2.0,1.2
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2,0.8,1.3
Brett Cecil,2660,0.3,2.5,0.5,0.1,0.9,1.2,1.3,0.4,1.1,-0.6
Doc Medich,1008714,3.5,3.4,3.7,2.7,1.8,2.4,1.9,3.2,2.6,1.4
Bruce Sutter,1012743,1.9,5.2,2.3,4.8,1.9,1.1,0.2,0.5,1.5,-0.6
Danny Darwin,1002996,1.0,2.5,1.7,1.0,3.2,3.7,1.3,3.2,2.6,1.0
Jake Westbrook,412,0.8,0.1,1.0,3.0,2.9,3.6,1.7,0.3,1.9,0.7
Jose Lima,475,0.9,0.6,0.4,2.7,4.7,-0.1,-0.2,0.0,1.0,0.8
Ryan Dempster,517,-0.3,0.7,3.4,2.2,1.4,0.7,1.8,0.9,0.2,4.7
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8,3.0,4.2
Glenn Abbott,1000010,1.5,0.3,0.4,1.5,1.2,0.2,2.5,1.4,1.8,-0.3
Mike Henneman,1005656,1.9,1.3,0.5,1.2,1.8,1.2,1.2,0.0,1.7,0.4
Alejandro Pena,1010140,-0.2,4.1,4.7,0.4,0.8,1.7,1.1,1.3,1.0,-0.3
Paul Splittorff,1012346,3.7,3.9,4.1,1.4,2.0,0.9,3.7,2.9,1.8,2.4
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4,0.1,0.9
Joel Pineiro,1094,2.0,2.5,3.5,1.8,1.8,0.4,0.4,0.6,4.3,2.1
Ken Brett,1001402,0.0,2.0,0.2,0.7,2.6,4.0,0.7,3.3,2.0,-0.3
Matt Cain,4732,0.7,3.8,4.1,3.7,3.3,4.0,4.5,3.2,1.2,-0.2
John Smiley,1012084,-0.1,3.5,2.2,1.9,3.4,5.0,0.8,2.6,4.3,4.5
John Tudor,1013215,1.8,0.2,3.5,1.8,2.5,6.4,2.1,0.9,3.1,2.3
Richard Dotson,1003424,1.5,1.3,2.4,2.9,2.0,0.8,2.1,2.4,-0.4,0.8
Ramon Ortiz,27,0.6,0.7,2.3,1.6,0.8,0.8,0.3,0.2,0.1,-0.3
Gil Heredia,1005686,0.2,-0.2,1.0,1.3,2.4,0.3,1.0,4.2,2.6,-0.7
Roger McDowell,1008475,0.9,1.4,0.0,0.8,0.4,0.8,0.1,0.1,0.1,0.0
A.J. Burnett,512,0.6,0.9,1.4,4.8,2.9,5.0,2.9,2.3,5.0,2.8
Tommy Hunter,1157,1.7,1.0,0.5,-0.4,0.7,0.7,0.3,0.6,1.2,0.6
Ted Abernathy,1000020,0.5,0.0,1.2,-0.6,1.8,-0.7,0.0,0.3,0.1,0.3
Mike Myers,68,1.1,-0.5,0.0,0.0,0.9,0.6,0.3,-0.3,-0.1,0.1
Dave Schmidt,1011580,0.3,2.5,0.6,1.5,1.2,0.9,2.2,0.7,-0.2,0.3
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3,2.3,3.3
Reggie Cleveland,1002347,3.5,3.5,4.3,1.5,1.6,2.6,2.7,1.0,-0.7,1.3
Dick Drago,1003475,2.5,3.8,4.7,2.9,2.8,1.9,0.8,-0.6,0.5,0.6
Jason Grimsley,602,0.6,0.2,0.5,1.4,-0.4,0.9,0.2,0.3,0.9,0.8
Edinson Volquez,3990,-0.2,0.5,3.6,0.2,0.7,-0.3,1.4,0.7,0.7,2.7
Bob Miller,1008877,1.2,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7,1.7
Lary Sorensen,1012279,2.3,5.0,1.9,2.4,3.0,2.0,2.2,0.9,0.1,-0.1
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3,2.2,0.6
Bob Shirley,1011911,1.6,1.9,2.3,-0.1,0.1,0.1,1.0,0.9,2.4,0.2
Graeme Lloyd,783,0.6,0.6,0.1,0.7,-0.1,0.4,0.1,0.5,0.0,0.5
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5,3.1,2.2
Rick Mahler,1007988,1.4,2.4,3.4,2.8,2.1,1.0,4.3,3.2,0.8,0.2
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4,1.8,1.9
Jim Lonborg,1007724,2.5,2.8,5.7,0.2,1.8,0.7,1.9,2.3,0.8,4.4
Jim Slaton,1012054,0.1,0.0,2.4,2.1,0.8,4.1,1.5,1.3,3.5,0.4
Andy Benes,1144,0.9,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1,3.3
Huston Street,8258,1.7,2.3,1.4,1.1,1.5,0.8,0.4,1.1,-0.8,1.0
Clay Carroll,1001997,-0.1,1.5,0.2,1.0,0.6,1.4,0.2,0.4,0.4,1.8
Andy Pettitte,840,3.2,4.6,7.2,3.2,2.6,3.9,5.8,3.9,5.1,1.9
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4,1.8,3.3
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7,3.4,4.3
Rick Reuschel,1010852,4.2,6.1,4.7,4.7,4.8,6.5,4.5,3.9,4.7,3.0
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1,0.3,0.7
Doug Davis,1244,0.5,3.6,0.6,0.7,4.4,3.7,2.8,2.2,2.3,1.0
Adam Wainwright,2233,1.2,3.7,2.4,5.2,5.0,3.9,6.2,5.0,2.7,1.4
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1,7.6,4.9,5.6
Dean Chance,1002130,3.5,4.8,7.6,3.2,2.9,6.9,7.7,1.3,1.7,1.0
Joe Nathan,1122,-0.3,-0.1,1.2,3.0,2.6,3.1,2.0,1.9,1.8,-0.1
Bob Ojeda,1009756,0.5,0.2,1.8,2.8,3.1,4.2,0.5,5.1,1.0,0.7
Jim Rooker,1011183,2.2,2.9,0.8,1.2,2.9,5.4,1.9,2.2,1.6,0.8
Tim Worrell,1139,0.6,1.9,-0.2,1.0,0.7,0.3,0.9,1.0,1.4,1.1
Guillermo Mota,1467,0.0,0.2,-0.3,0.4,2.1,1.3,0.6,-0.3,0.2,0.1
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4,2.1,-0.1
Dan Spillner,1012342,1.0,1.5,-0.4,-0.5,1.3,1.4,1.4,1.6,2.6,0.3
Jordan Zimmermann,4505,1.9,-0.3,3.1,3.3,3.8,5.4,3.0,1.4,1.3,0.9
Jonathan Broxton,4759,1.4,1.9,2.0,2.6,1.0,1.1,-0.3,0.7,0.2,0.1
Yovani Gallardo,8173,2.6,2.7,3.6,2.7,2.0,1.5,1.6,2.5,0.6,0.1
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1,3.2,4.9
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2,2.8,4.4
Dan Miceli,1463,0.1,-0.6,0.3,1.1,0.2,0.8,0.3,-0.1,1.1,-0.3
Chris Young,3196,0.5,3.4,2.2,4.3,1.5,0.1,1.1,-0.1,1.0,-1.2
J.A. Happ,7410,0.4,1.6,1.0,0.7,1.8,1.0,1.2,3.2,2.9,2.8
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0,2.0,0.5
Mike Marshall,1008144,0.0,0.9,0.8,0.3,1.8,1.6,4.4,0.4,0.4,0.8
Jon Matlack,1008246,0.5,4.9,4.7,7.5,4.4,4.4,2.6,6.8,1.2,5.2
Joe Hoerner,1005895,0.9,0.4,0.7,0.4,0.4,0.7,0.0,0.4,0.1,-0.6
Mike McCormick,1008420,5.1,2.5,-1.0,-0.1,1.9,2.0,2.0,1.5,0.3,-0.8
Rick Waits,1013494,1.3,1.4,1.5,2.8,1.7,3.0,1.9,0.4,0.6,0.6
Wilbur Wood,1014248,0.2,0.4,1.3,1.3,0.4,1.9,8.7,6.1,7.4,4.7
Paul Quantrill,669,0.7,1.2,-0.1,2.0,0.3,1.9,1.6,0.2,0.9,1.7
Gil Meche,1089,0.4,1.5,1.5,1.1,0.5,1.9,3.7,4.2,1.0,-0.3
Francisco Liriano,3201,3.6,1.4,0.7,5.6,0.6,1.5,3.1,1.6,3.3,0.5
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3,8.6,8.8
Neal Heaton,1005568,0.4,2.4,1.3,2.0,0.9,2.3,-1.0,0.4,0.9,-0.1
Bill Krueger,1007175,1.2,0.8,0.9,-0.1,0.8,0.8,2.0,1.9,1.4,0.6
Phil Regan,1010785,0.3,0.4,1.3,0.3,1.0,0.4,1.6,0.7,0.4,1.0
Jason Vargas,8044,1.7,-0.6,0.5,3.4,2.7,1.5,1.7,2.3,0.4,1.9
John Candelaria,1001909,2.6,2.5,2.9,2.7,2.2,4.0,0.4,3.7,4.5,3.3
Bruce Chen,769,-0.1,1.7,0.5,-0.2,0.6,1.6,-0.7,0.0,1.2,1.4
Ken Forsch,1004234,4.1,0.8,2.6,1.0,0.7,0.5,1.5,2.4,1.8,2.4
Ted Lilly,833,0.8,1.3,3.1,3.0,0.5,2.1,3.8,2.8,3.7,2.5
Carlos Villanueva,4138,0.5,0.4,0.7,0.5,0.1,1.3,0.6,1.2,1.3,0.2
Cole Hamels,4972,2.6,3.9,4.7,3.7,3.6,5.1,4.6,4.6,4.5,4.5
Andy Hassler,1005480,0.4,1.1,1.1,1.5,2.2,1.7,0.9,0.6,-0.2,0.0
Dan Schatzeder,1011527,0.5,1.3,2.1,-0.5,0.2,1.1,1.3,0.8,-0.4,0.0
Pete Schourek,1011608,0.5,1.3,0.9,0.7,4.2,1.0,-0.4,0.8,0.4,0.8
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4,2.4,2.0
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9,3.4,4.3
Edwin Jackson,1841,0.1,1.2,1.5,3.7,3.2,3.4,2.1,2.2,0.7,0.0
Wandy Rodriguez,2586,0.4,1.1,3.1,2.9,4.2,3.5,1.5,2.8,0.3,0.9
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4,0.9,3.4
Fritz Peterson,1010227,3.5,2.8,3.6,6.8,4.4,4.1,2.9,1.3,1.5,1.2
Bryn Smith,1012104,0.6,1.7,2.1,5.1,2.1,2.5,3.2,3.2,2.4,2.4
Zack Greinke,1943,1.8,2.0,2.1,4.2,8.6,4.9,3.2,4.8,3.5,4.5
Ubaldo Jimenez,3374,0.9,4.2,5.3,5.9,3.3,0.9,3.5,0.4,2.6,1.6
Ricky Nolasco,3830,1.2,4.3,4.2,2.2,3.2,2.3,3.5,1.3,0.8,2.8
Paul Maholm,8678,0.6,1.4,1.8,3.2,3.7,1.8,2.0,1.7,0.5,-0.5
David Cone,1680,0.5,5.3,3.3,5.0,6.5,5.2,3.9,3.8,4.5,2.2
Nelson Briles,1001432,1.0,1.2,2.1,2.4,3.4,0.7,1.2,3.5,2.7,1.3
Mark Gubicza,1005115,2.7,2.2,3.0,3.8,6.2,6.3,1.6,2.1,2.1,2.3
Luis Tiant,1013054,2.0,2.8,2.5,3.7,7.4,0.5,0.5,0.9,3.6,5.0
Bud Black,1001007,0.3,1.1,4.3,3.6,0.1,1.1,0.6,3.4,2.4,0.8
Steve Farr,1003953,1.0,0.6,0.9,0.8,1.5,0.8,1.6,1.4,1.1,-0.7
Ron Perranoski,1010201,0.9,1.7,0.0,0.5,0.4,0.2,0.3,0.5,1.2,0.8
J.C. Romero,754,0.6,0.3,1.6,-0.5,1.0,-0.5,0.0,0.0,-0.2,-0.5
Blue Moon Odom,1009726,1.3,-0.1,2.7,2.9,0.2,0.1,0.9,0.8,0.3,0.2
Marty Pattin,1010074,0.1,0.2,4.3,3.4,4.6,1.8,1.0,2.3,1.4,0.3
Walt Terrell,1012924,1.3,1.7,4.8,0.6,3.2,1.5,1.7,0.0,2.7,0.6
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7,1.4,4.1,0.3
Joe Blanton,4849,2.2,3.2,5.3,1.8,2.1,1.8,0.6,2.5,-0.4,1.1
Ray Sadecki,1011360,1.4,1.8,0.7,1.2,3.7,1.2,-0.3,4.0,4.6,0.7
Lee Smith,1012175,0.9,2.7,2.4,2.1,2.7,1.8,2.9,1.6,1.5,2.4
Glendon Rusch,707,1.5,1.5,4.7,3.2,1.6,2.1,2.8,2.3,-0.9,1.1
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8,0.7,0.5
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7.0,6.8,5.3,6.6,6.1,5.6
Oliver Perez,1514,0.6,0.4,4.5,-0.8,0.1,2.7,1.6,-0.6,-1.1,0.8
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5,6.2,6.7,4.9,5.2,3.4
Orel Hershiser,1005741,4.0,5.4,3.6,5.6,4.0,5.6,2.5,2.3,3.0,1.1
Anibal Sanchez,3284,1.9,0.0,0.3,0.7,4.2,3.7,3.5,5.8,3.3,1.3
Rich Gossage,1004894,0.5,-0.8,0.7,4.0,2.0,4.2,2.4,1.0,3.2,1.4
Dave Smith,1012117,1.9,1.1,-0.6,0.2,0.3,1.3,0.2,2.8,0.9,0.7
Javier Vazquez,801,0.5,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7,4.8
C.J. Wilson,3580,0.3,0.0,0.7,-0.5,1.8,4.3,5.2,2.6,2.9,0.5
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2,1.2,0.7
Bruce Ruffin,1011294,2.7,2.5,0.4,0.7,0.9,2.2,-0.3,1.7,0.7,0.5
Tom Glavine,90,0.0,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3,5.3
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0,1.0
Scott Schoeneweis,33,0.3,1.7,2.0,0.1,1.0,0.9,0.9,0.2,-0.4,-0.4
Larry Gura,1005150,-0.2,0.7,1.1,1.8,0.0,1.1,3.1,1.3,4.1,2.7
Kevin Correia,1767,0.0,-0.4,1.0,1.1,0.4,3.1,0.1,0.3,0.9,1.5
Jim Brewer,1001406,0.3,-0.5,1.1,0.2,0.8,0.2,0.8,0.7,1.1,0.6
Erik Hanson,1005333,0.9,2.4,6.6,3.5,3.1,4.9,3.1,4.1,3.0,-0.5
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4,1.2,1.4
Jason Grilli,521,-0.2,0.0,0.6,1.0,0.4,0.5,1.3,1.5,0.3,1.3
Jason Hammel,4538,0.3,0.3,-0.2,3.5,3.2,1.1,2.6,0.6,1.8,2.3
Randy Myers,1009427,1.5,1.7,1.6,2.0,1.3,0.3,1.6,0.5,0.4,1.3
John Lackey,1507,1.9,1.8,3.1,5.3,5.3,5.0,1.4,3.2,3.4,0.9
Matt Thornton,1918,0.2,-0.9,0.9,0.9,1.8,2.3,2.2,1.4,1.3,0.1
Homer Bailey,8362,0.5,-0.4,1.1,1.6,1.3,2.4,3.9,1.7,0.8,-0.1
Jimmy Key,1006885,-0.4,2.8,3.4,5.6,1.6,4.6,2.4,5.3,2.7,5.2
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7,3.2,-0.5
Ryan Vogelsong,1011,-0.4,0.2,0.0,0.1,1.7,1.9,-0.7,0.9,0.0,0.1
Tom Browning,1001566,3.0,3.2,1.5,0.6,1.8,2.7,1.5,0.8,1.2,0.0
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0,5.8,2.5
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2,1.0
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9
Rafael Soriano,1100,0.4,1.6,1.1,0.6,1.7,1.9,0.2,1.0,0.5,0.7
Don Aase,1000003,2.2,1.6,1.8,1.9,0.7,0.6,0.8,1.5,1.9,-0.4
Jim Bunning,1001653,6.9,6.3,4.6,2.7,5.6,7.3,6.8,6.8,0.6,3.8
Mark Gardner,1004529,2.3,0.8,1.9,-0.1,0.4,0.4,1.4,1.4,2.0,-0.2
Sonny Siebert,1011951,2.6,5.4,3.4,2.3,2.7,2.1,3.3,4.4,2.7,1.7
Jarrod Washburn,40,0.6,1.0,0.3,2.5,4.2,1.6,1.7,2.0,1.9,2.0
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1,1.6,2.6,1.4,0.2,0.7
Clayton Kershaw,2036,1.3,4.1,4.5,7.4,6.2,7.3,8.0,8.7,6.4,4.3
Mike Hampton,430,-0.1,2.3,2.4,3.1,2.3,4.9,4.6,1.9,0.3,2.6
Trevor Cahill,6249,0.4,2.0,2.1,2.4,0.7,0.6,0.1,-0.1,0.2,2.0
Tim Leary,1007438,0.5,0.5,2.5,0.1,4.7,2.3,3.0,0.0,-0.2,0.8
Bob Veale,1013391,1.0,1.4,6.5,8.0,5.3,2.0,2.6,6.0,3.7,-0.2
Armando Benitez,865,-0.3,1.7,0.4,3.1,1.5,0.3,1.0,0.9,1.6,-0.2
