"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Joe Niekro","1009582","2","-0.1","1.6","1.6","0.2","0.8","0.1","0.8","0.4","1.6","1.4","1.8","3.4","A"
"Miguel Batista","     46","0","0.7","2","-0.9","1.3","3.1","4.3","1.6","0.5","2.9","2.2","-1.3","0.1","J"
"Dennis Eckersley","1003660","2.8","4.6","4.6","3.9","4.4","2.9","3.2","3.1","0.8","3.2","4.3","3.7","3.4","H"
"John Hiller","1005817","1.6","1","0.5","0.9","0.2","2.8","3","1.6","1.6","1.5","2","-1.6","0.1","J"
"Gaylord Perry","1010210","0.5","-0.3","3.6","2.3","7.3","5.6","5.5","5.9","6.3","4.7","8.1","5.7","6.3","N"
"Rick Wise","1014155","0","1.9","3.4","2","3.7","3.8","4.6","4.8","5.1","1","2.7","3.1","1.6","C"
"Mike Stanton","    849","0.8","0.1","0.3","0.3","-0.1","0.7","1.4","0.1","1.5","1.6","1.7","1.2","0","A"
"Jon Lieber","    287","1.7","1.2","1.4","3.2","2.6","4.5","4.4","4.4","3.1","3.5","3.1","2.4","1.4","C"
"Ed Whitson","1013911","0.5","1.2","3.2","0.7","1.1","-0.1","2.6","2","0.2","1.1","3","2.7","5.2","G"
"Jason Isringhausen","   1158","1.5","2.1","0.1","0.9","1.8","2.5","0.9","1.7","0.7","-0.9","0.6","-0.3","-0.3","A"
"John Smoltz","    115","-0.4","4","3.6","3.7","5","3.9","2.1","4.6","8.4","6.7","5.2","5.4","1.3","I"
"Mike Morgan","     67","-0.2","0.9","-0.1","2.5","3.1","0.5","2.5","2.1","4.5","3.2","2.8","0.3","1.5","J"
"Jeremy Affeldt","    583","0.9","2.5","1","0.3","-0.5","0.4","0.4","0.5","0.1","0","0.8","-0.5","0.4","A"
"Bill Gullickson","1005136","3.2","4.8","2.8","3.4","1.8","3","3.2","1.1","0.4","3.4","0.6","0.7","0.7","E"
