12385, -0.10, 0.37
12520, nan, 0.65
12555, 0.00, 0.44
12572, 1.30, 0.31
12580, 0.40, 0.98
12586, 0.00, 0.26
12638, 0.50, 1.26
12664, 2.00, 1.80
12691, nan, 1.13
12703, 2.80, 3.59
12730, 0.30, 0.81
12763, 1.30, 1.78
12768, 2.80, 2.39
12799, nan, 0.70
12804, -0.10, 1.44
12863, 0.90, 0.76
12880, 1.30, 1.58
12905, nan, 0.65
12910, 1.80, 1.16
12918, 2.00, 1.73
12972, 0.50, 1.50
13048, -0.20, 1.71
13050, 0.80, 2.31
13071, 0.50, 0.19
13125, 3.20, 1.75
13164, 1.90, 0.50
13183, 2.70, 0.81
13287, 1.20, 0.34
10603, 7.50, 4.93
10603, 7.50, 5.53
10603, 7.50, 4.72
8700, 4.30, 3.81
