Name,playerid,WAR22,WAR23,WAR24,WAR25
Freddy Garcia,1077,3.8,1.0,5.3,3.4
Dan Petry,1010246,2.1,4.4,1.3,4.2
Mel Stottlemyre,1012579,1.8,4.5,3.6,2.5
Brian Anderson,44,1.3,-0.3,0.4,0.4
Tom Griffin,1005054,0.5,0.0,1.0,0.6
Storm Davis,1003080,4.7,3.0,2.6,1.1
Bob Sykes,1012798,0.9,0.4,-0.4,0.0
Matt Capps,4788,0.5,1.8,1.3,-0.1
Hank Fischer,1004068,-0.1,0.5,1.6,0.1
Frank Pastore,1010048,3.4,1.9,2.4,1.2
Brian Matusz,2646,0.9,2.8,-1.1,0.9
Larry Christenson,1002215,2.4,2.7,4.6,1.3
Ron Bryant,1001608,1.3,1.8,1.6,2.6
Kent Mercker,439,-0.2,0.7,0.0,1.1
Scott Bankhead,1000510,1.8,0.9,3.6,3.5
Jim Gott,1004898,1.0,2.8,1.5,2.0
Claude Osteen,1009878,2.1,2.3,4.4,3.5
Tom Seaver,1011708,3.3,5.8,4.4,8.3
Jim Maloney,1008039,1.5,6.4,4.9,6.5
Sidney Ponson,161,1.4,3.2,1.3,1.7
Jim Clancy,1002255,3.0,0.4,3.2,0.4
Lance McCullers,1008436,0.7,1.7,-0.2,0.5
Ugueth Urbina,216,0.9,0.8,2.2,2.2
Dave Freisleben,1004333,1.9,0.8,1.2,-0.7
Randall Delgado,5985,0.6,-0.1,0.5,0.6
Danny Jackson,1006295,0.7,4.6,2.9,4.3
Chris Knapp,1007026,0.1,1.5,1.4,1.0
Joe Niekro,1009582,2.0,-0.1,1.6,1.6
Dennis Eckersley,1003660,4.6,3.9,4.4,2.9
Rick Wise,1014155,2.0,3.7,3.8,4.6
Jim McGlothlin,1008532,0.3,3.1,1.7,2.1
Joey McLaughlin,1008614,0.6,0.3,1.2,0.5
Shelby Miller,10197,2.1,0.6,3.7,0.6
Britt Burns,1001702,2.4,3.2,3.1,2.2
Allen Watson,1013675,0.5,0.3,-0.1,1.0
John Smoltz,115,4.0,3.6,3.7,5.0
Chad Billingsley,5842,2.2,3.9,2.7,4.1
Bill Gullickson,1005136,4.8,2.8,3.4,1.8
Steve Howe,1006107,1.7,0.7,2.0,2.2
Catfish Hunter,1006199,1.4,1.3,3.1,3.2
Clay Kirby,1006960,-0.1,4.4,1.6,0.4
Dennys Reyes,444,0.9,0.0,0.5,0.2
Julian Tavarez,541,1.6,0.9,0.0,0.3
Doyle Alexander,1000122,0.8,0.6,1.2,1.3
Mat Latos,3815,4.3,4.1,2.7,5.0
Juan Cruz,273,0.9,0.1,0.7,0.5
Mark Wohlers,414,0.3,0.8,1.0,2.6
Ben Sheets,710,1.3,3.8,3.8,8.0
Mike Witt,1014174,0.7,5.9,4.7,6.7
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3
Matt Harrison,5551,0.6,0.5,-0.1,4.0
Sparky Lyle,1007859,0.6,0.8,1.3,0.6
Andrew Miller,6785,0.3,1.9,0.7,-0.4
Shane Rawley,1010719,0.9,1.9,1.6,0.9
Kevin Appier,3,3.2,4.7,4.8,6.8
Don Carrithers,1001992,-0.2,0.4,0.2,0.7
Amaury Telemaco,1802,0.0,0.7,0.9,-0.3
Ben McDonald,1008454,1.8,1.3,2.0,4.5
Steve Barber,1000530,1.7,3.5,2.3,5.4
Paul Hartzell,1005467,1.4,2.9,1.7,1.4
Kirk Rueter,1128,1.4,1.0,1.0,0.9
Brett Cecil,2660,0.3,2.5,0.5,0.1
George Stone,1012565,1.3,2.8,2.7,-0.2
Jose Lima,475,0.9,0.6,0.4,2.7
Ryan Dempster,517,0.7,3.4,2.2,1.4
Joel Pineiro,1094,2.0,2.5,3.5,1.8
Ken Brett,1001402,0.2,0.7,2.6,4.0
Matt Cain,4732,4.1,3.7,3.3,4.0
John Smiley,1012084,-0.1,3.5,2.2,1.9
Erasmo Ramirez,10314,1.1,0.1,-0.6,2.3
Richard Dotson,1003424,1.3,2.4,2.9,2.0
Wil Ledezma,1669,0.1,1.0,-0.2,1.0
