Name,playerid,WAR30,WAR31
Mike Cuellar,1002853,5.1,3.3
Rich DeLucia,1003185,0.3,-0.2
Dan Petry,1010246,-0.6,0.8
Ed Roebuck,1011118,-0.6,-0.9
Mel Stottlemyre,1012579,2.4,4.1
Brian Anderson,44,1.6,1.9
Jim Brower,313,0.6,0.7
Billy Wagner,578,1.7,2.3
Chad Qualls,2170,0.9,0.0
Tom Griffin,1005054,-0.5,0.2
Jason Schmidt,1131,6.6,6.4
Steve Stone,1012573,2.2,0.3
Storm Davis,1003080,0.8,0.8
Andy McGaffigan,1008497,2.0,0.8
Vern Ruhle,1011297,1.2,1.2
Bobby Jones,1039,1.0,0.8
John Franco,874,1.3,0.5
Turk Wendell,975,-0.2,0.7
Doug Bair,1000439,0.1,0.1
Charlie Leibrandt,1007492,4.4,3.4
Orlando Pena,1010150,1.3,0.9
Don Cardwell,1001941,0.1,1.1
Jerry Reed,1010769,0.4,1.3
Francisco Cordero,1243,1.4,1.3
Jerry Koosman,1007103,4.4,5.4
Curt Schilling,73,8.2,8.3
Dustin Hermanson,195,0.1,1.7
Kent Mercker,439,2.3,1.1
Daisuke Matsuzaka,7775,0.2,-0.4
Scott Bankhead,1000510,0.2,-0.5
George Kontos,9486,-0.2,0.2
Sergio Romo,9817,1.0,-0.2
Jose Bautista,1000694,-1.6,-0.3
Jim Gott,1004898,-0.1,0.7
Al Hrabosky,1006116,-0.7,0.3
Claude Osteen,1009878,3.1,1.6
Tom Seaver,1011708,7.8,6.8
Mike Stanton,1012421,1.1,1.4
Don Carman,1001967,-0.9,-0.8
Jim Kern,1006868,4.7,-0.3
Bob Shaw,1011819,1.7,0.5
Sidney Ponson,161,-0.2,0.9
Ron Villone,1010,0.2,0.8
Jim Clancy,1002255,3.1,5.0
Ron Guidry,1005124,2.8,4.0
Jack Kralick,1007135,0.6,-0.1
Paul Reuschel,1010851,0.7,0.6
Mike Magnante,929,0.1,0.3
Jamie Moyer,1091,3.2,1.9
Tony Watson,3132,1.3,-0.1
Ugueth Urbina,216,0.1,0.7
Lance Painter,1675,-0.2,1.0
Brad Ziegler,7293,0.1,1.0
Craig Lefferts,1007476,0.6,0.6
Brian Williams,1013978,0.3,-0.6
Al Fitzmorris,1004119,3.7,1.2
Danny Jackson,1006295,2.8,3.2
Joe Niekro,1009582,0.8,0.4
Mike Proly,1010545,-0.3,0.2
Mark Williamson,1014022,0.7,0.0
Miguel Batista,46,1.3,3.1
Terry Adams,946,1.5,0.2
Hank Aguirre,1000087,-0.2,5.2
Dennis Eckersley,1003660,4.3,3.7
John Hiller,1005817,2.8,3.0
Gaylord Perry,1010210,5.9,6.3
Carl Willis,1013979,1.4,1.5
Rick Wise,1014155,3.1,1.6
Mike Stanton,849,1.4,0.1
Charlie Morton,4676,1.3,0.7
Joakim Soria,6941,1.5,0.4
Jim Bouton,1001241,0.6,0.8
Kelly Downs,1003453,-0.4,0.6
Al Jackson,1006288,2.9,0.7
Jon Lieber,287,4.4,4.4
Dave Borkowski,2002,0.1,-0.5
Don Drysdale,1003516,4.3,3.0
Ed Whitson,1013911,2.0,0.2
Darren O'Day,3321,0.7,0.9
Tim Crews,1002765,0.5,0.2
Gary Glover,234,-0.2,0.0
Jason Isringhausen,1158,0.9,1.7
John Smoltz,115,6.7,5.2
Glen Perkins,8041,1.8,1.2
Dick Tidrow,1013056,0.5,2.2
Mike Morgan,67,2.1,4.5
Jeremy Affeldt,583,0.5,0.1
Jason Frasor,1906,-0.1,1.4
Catfish Hunter,1006199,3.9,-0.8
Julian Tavarez,541,1.1,1.3
Al Leiter,883,3.4,1.3
Doyle Alexander,1000122,1.6,-0.3
Larry McWilliams,1008700,2.9,0.1
Ron Taylor,1012885,0.5,0.0
Aaron Heilman,1751,0.3,-0.1
J.J. Putz,1795,2.1,0.6
Grant Jackson,1006298,0.7,0.7
Troy Percival,29,0.2,2.2
Sean Lowe,994,1.6,-0.2
Kent Tekulve,1012905,1.3,1.4
Armando Reynoso,72,1.4,1.0
Manny Acosta,8725,0.3,-0.4
Lindy McDaniel,1008441,1.9,0.4
Pedro Ramos,1010681,0.8,0.4
Juan Acevedo,458,0.1,0.1
Jamie Walker,502,-0.2,0.3
Luis Aquino,1000285,0.0,-0.2
Bob Johnson,1006430,-0.2,-0.5
Lerrin LaGrow,1007255,-0.2,-0.4
Kris Benson,982,1.3,0.6
Woodie Fryman,1004381,2.4,3.1
Frank LaCorte,1007239,-0.6,-0.7
Dave LaRoche,1007354,0.6,-0.2
Josh Fogg,989,1.3,-0.6
Kenny Rogers,1277,3.0,2.2
Gary Lavelle,1007389,1.3,0.9
Terry Mathews,1008241,0.7,0.0
Sparky Lyle,1007859,2.0,0.8
Andrew Miller,6785,2.1,2.9
Shane Rawley,1010719,1.7,2.4
Scot Shields,35,1.6,0.8
Luis Vizcaino,714,0.3,0.6
Charlie Hough,1006050,0.0,0.0
Vicente Palacios,1009965,0.9,-0.2
