Name,playerid,WAR20
Dan Petry,1010246,1.1
Bill Hepler,1005681,-0.7
Storm Davis,1003080,1.8
Jose Fernandez,11530,4.2
Claude Osteen,1009878,-0.5
Jim Maloney,1008039,0.7
Kevin Kobel,1007067,1.4
Dennis Eckersley,1003660,2.8
Rick Wise,1014155,1.9
Jenrry Mejia,8476,-0.2
Marcos Carvajal,3216,0.0
Catfish Hunter,1006199,1.8
Dennys Reyes,444,0.5
Julian Tavarez,541,-0.1
Doyle Alexander,1000122,0.9
Chad Gaudin,1783,0.2
Ed Correa,1002637,3.4
Mike Witt,1014174,1.6
Jim Palmer,1009973,2.0
Ken Brett,1001402,0.0
Matt Cain,4732,0.7
Wade Blasingame,1001057,-0.3
Mike McQueen,1008680,0.1
Victor Cruz,1002845,1.2
Jim Roland,1011156,0.5
Vida Blue,1001094,1.5
Bruce Robbins,1011019,-0.8
Jeff Byrd,1001794,0.3
Gil Meche,1089,0.4
Don Gullett,1005134,2.6
Zack Greinke,1943,1.8
Bill Stafford,1012375,1.3
Ray Sadecki,1011360,1.8
Felix Hernandez,4772,3.3
Oliver Perez,1514,0.6
Bert Blyleven,1001098,7.5
Wally Bunker,1001652,1.7
Rich Gossage,1004894,0.5
Dave Morehead,1009156,1.6
Dave Boswell,1001222,-0.3
Greg Maddux,104,0.4
Clayton Kershaw,2036,1.3
Joel Davis,1003061,1.0
Larry Dierker,1003288,2.1
Billy McCool,1008409,1.5
Ramon Martinez,1008193,0.4
Gene Nelson,1009501,-0.3
Dave McNally,1008655,1.2
Ken Holtzman,1005989,3.0
Tommy Boggs,1001123,0.5
Gil Blanco,1001042,-0.4
Dick Ellsworth,1003754,2.3
Alex Fernandez,1003993,1.4
Dwight Gooden,1004852,8.9
Brent Knackert,1007025,-0.2
Mark Davis,1003067,-0.3
Jose Rijo,349,1.3
Jeremy Bonderman,1667,1.3
CC Sabathia,404,2.7
Roberto Osuna,13764,1.3
Tony Cloninger,1002359,-0.4
Manny Sarmiento,1011450,0.4
Jeff D'Amico,871,0.0
Gary Nolan,1009616,2.3
Dave Rozema,1011273,3.2
Madison Bumgarner,5524,1.7
Mark Grant,1004951,0.3
Bart Johnson,1006422,0.9
Edwin Nunez,1009658,0.3
Fernando Valenzuela,1013327,4.9
Steve Avery,1706,1.5
Rick Porcello,2717,1.7
Dan Schneider,1011592,0.0
Hayden Penn,4893,0.0
Mario Soto,1012289,-0.2
Scott Kazmir,4897,0.5
Mark Littell,1007657,-0.1
Denny McLain,1008603,0.6
Dennis Blair,1001029,1.8
Frank Tanana,1012818,3.6
Bob Moose,1009134,3.6
Jon Garland,232,0.4
Terry Forster,1004236,2.3
Tug McGraw,1008545,0.1
Sam McDowell,1008476,0.6
Bret Saberhagen,1011355,1.9
Jordan Lyles,7593,0.4
Aurelio Monteagudo,1009063,-0.8
Joe Gilbert,1004692,-0.1
Gary Ross,1011230,0.4
Rudy May,1008310,0.4
Joe Coleman,1002428,1.7
Rick Ankiel,1142,3.4
