Name,playerid,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36
David Cone,1680,6.5,5.2,3.9,3.8,4.5,2.2,4.9,5.1,3.4
Luis Tiant,1013054,0.5,0.5,0.9,3.6,5.0,6.5,4.2,3.7,2.6
Bud Black,1001007,3.6,0.1,1.1,0.6,3.4,2.4,0.8,-0.1,0.2
Steve Farr,1003953,0.6,0.9,0.8,1.5,0.8,1.6,1.4,1.1,-0.7
Ron Perranoski,1010201,0.5,0.4,0.2,0.3,0.5,1.2,0.8,-0.2,-0.2
Marty Pattin,1010074,3.4,4.6,1.8,1.0,2.3,1.4,0.3,-0.1,0.7
Bartolo Colon,375,3.9,4.4,4.7,1.4,4.1,0.3,1.0,0.5,0.2
Lee Smith,1012175,1.8,2.9,1.6,1.5,2.4,2.0,1.2,0.1,0.8
Kyle Lohse,739,3.0,2.8,0.7,0.5,2.2,3.3,1.7,1.9,-0.3
Rich Gossage,1004894,3.2,1.4,3.6,3.5,1.5,2.6,0.7,1.0,0.2
Dave Smith,1012117,0.2,0.3,1.3,0.2,2.8,0.9,0.7,0.9,-1.1
Tom Glavine,90,3.6,4.3,5.3,3.6,4.8,4.2,4.7,1.7,2.9
Dennis Martinez,1008161,0.7,0.1,0.0,1.0,2.8,2.2,3.1,4.6,4.2
Larry Gura,1005150,0.0,1.1,3.1,1.3,4.1,2.7,1.9,0.1,-0.4
Matt Thornton,1918,-0.9,0.9,0.9,1.8,2.3,2.2,1.4,1.3,0.1
Jimmy Key,1006885,4.6,2.4,5.3,2.7,5.2,4.0,0.6,2.7,2.8
Greg Swindell,76,2.0,1.2,1.0,-0.7,1.4,0.0,0.6,1.2,-0.1
Greg Maddux,104,7.4,7.9,7.8,8.0,7.5,5.6,7.2,6.3,3.9
Jim Bunning,1001653,6.9,6.3,4.6,2.7,5.6,7.3,6.8,6.8,0.6
Mark Gardner,1004529,2.3,0.8,1.9,-0.1,0.4,0.4,1.4,1.4,2.0
Sonny Siebert,1011951,5.4,3.4,2.3,2.7,2.1,3.3,4.4,2.7,1.7
LaTroy Hawkins,729,-0.1,1.6,2.6,1.4,0.2,0.7,0.2,0.8,0.5
Steve Trachsel,898,2.5,2.4,2.0,2.1,1.8,1.5,0.1,0.5,0.4
Mike Timlin,1187,0.2,1.3,1.4,0.6,1.8,0.3,0.1,0.7,-0.3
Rick Aguilera,1000086,1.3,1.5,0.8,1.0,0.8,1.3,1.5,0.8,1.4
Scott Downs,773,0.4,1.0,0.5,1.1,1.0,0.8,1.1,0.6,0.2
Gene Garber,1004493,1.8,2.3,1.2,1.1,0.9,0.7,2.2,-0.1,0.9
Bob Walk,1013507,1.3,0.2,1.1,3.2,1.5,0.8,1.1,0.6,0.4
Brett Tomko,1056,-0.5,1.3,1.0,2.7,2.3,1.0,1.2,0.5,0.0
Jack Billingham,1000970,4.1,2.5,3.7,3.0,0.5,0.7,1.0,2.0,1.7
Bill Campbell,1001874,1.7,1.8,0.2,0.2,0.2,0.9,2.0,0.6,0.2
Bob Welch,1013750,2.1,5.4,4.5,3.0,3.0,1.8,0.6,0.6,0.1
Arthur Rhodes,1097,1.0,-0.4,1.6,2.5,2.9,0.9,-0.6,1.2,0.7
Mark Langston,1007323,4.8,4.6,3.0,5.4,5.6,1.6,4.1,1.7,0.0
Mark Hendrickson,1574,0.8,1.7,2.2,1.6,2.1,1.6,1.0,0.3,0.3
Darold Knowles,1007058,0.8,0.6,0.0,-0.2,-1.1,1.7,0.4,-0.2,-0.2
David Weathers,902,1.9,0.1,0.5,1.1,0.5,0.7,-0.3,0.7,-0.4
Mike Mussina,837,5.4,5.1,6.0,6.4,6.9,4.5,6.1,3.0,2.6
Alan Embree,1030,0.0,0.5,0.6,-0.3,1.6,0.8,0.4,-0.3,1.1
Joe Gibbon,1004658,2.5,1.7,1.3,1.5,1.1,-0.5,-0.2,0.0,-0.1
Doug Henry,1005668,0.6,-0.2,-0.7,0.5,0.1,0.5,-0.4,-0.6,-0.6
Tom Candiotti,1001911,4.3,1.3,4.5,4.4,2.3,5.8,3.5,4.2,2.5
Jesse Orosco,667,0.9,0.4,1.6,-0.4,1.1,-0.5,0.5,0.3,2.0
Mike Flanagan,1004133,2.9,1.5,2.7,1.8,2.4,0.3,2.6,3.1,1.1
Rick Honeycutt,1005992,0.9,2.8,1.9,1.5,3.1,1.8,0.4,0.6,0.9
Tim Belcher,1000789,1.5,4.1,3.1,3.0,1.2,1.7,3.8,1.9,1.9
Steve Carlton,1001964,4.5,5.3,3.5,5.1,5.1,2.8,4.3,8.8,5.3
Jim Kaat,1006660,6.4,3.9,3.5,3.2,5.9,2.6,2.7,5.2,5.1
