Name,playerid,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38
Fergie Jenkins,1006388,4.8,4.2,7.8,2.7,3.7,2.3,5.3,2.0,2.7,0.3
Don Sutton,1012745,4.7,5.4,3.3,3.8,2.7,3.7,3.0,3.9,4.6,3.4
Jose Mesa,961,2.1,1.4,1.0,0.4,-0.9,0.4,1.6,0.6,-0.1,0.6
Fernando Rodney,494,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2,1.0,-0.8
Terry Mulholland,665,3.8,2.9,0.5,0.1,2.5,1.3,1.4,2.1,1.1,-0.1
Greg Harris,1005415,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5,1.2,-0.2
Jerry Reuss,1010853,1.0,2.9,4.6,2.5,5.5,4.8,1.2,2.6,-0.4,0.9
John Burkett,179,2.4,2.2,4.6,4.6,4.1,2.4,2.5,5.1,1.8,2.7
Paul Assenmacher,1000344,1.4,2.2,0.7,0.5,0.7,0.8,1.4,1.0,0.6,-0.1
Jamey Wright,715,0.6,0.6,0.8,0.4,0.6,-0.4,0.1,-0.1,0.6,0.5
Roger Clemens,815,7.6,3.7,4.2,2.4,6.8,10.7,8.2,3.2,3.6,5.6
Jim Perry,1010213,1.7,2.9,1.8,2.3,5.5,6.7,0.3,2.3,1.9,4.3
Dennis Cook,8,0.0,0.0,0.2,0.2,1.5,0.7,1.4,0.1,-0.1,-0.1
Tim Wakefield,219,1.0,1.8,1.6,0.7,-0.3,2.2,2.7,3.6,1.4,1.8
Kevin Brown,642,3.4,4.5,6.7,6.5,9.6,7.3,6.8,3.0,0.5,6.1
Steve Reed,1053,-0.1,1.7,0.3,-0.3,0.8,0.1,0.3,0.3,1.1,-0.2
Dan Plesac,1319,0.0,0.6,-0.2,0.3,1.0,1.7,0.6,1.3,0.6,0.4
Frank Tanana,1012818,2.6,2.1,3.6,2.3,4.1,2.1,3.1,0.8,1.9,0.5
Jeff Fassero,279,1.3,3.5,2.9,3.6,5.9,5.0,3.1,-0.5,1.8,1.7
Woody Williams,1190,0.9,1.4,1.3,1.5,1.9,2.0,1.9,4.5,2.9,1.1
Rick White,456,0.3,1.6,0.7,0.6,0.9,-0.2,-0.9,0.5,0.1,-0.2
Chuck Finley,384,1.3,5.1,3.4,4.4,5.0,2.9,4.4,4.4,4.4,2.1
Tim Hudson,921,1.8,2.5,4.9,1.9,0.6,1.7,2.8,1.6,1.6,1.6
Tug McGraw,1008545,-0.2,0.7,1.3,1.1,1.2,0.3,2.5,0.6,0.3,0.2
Nolan Ryan,1011348,5.3,6.6,5.0,5.1,4.5,3.8,3.5,3.4,4.0,4.4
Steve Renko,1010835,3.7,0.7,3.3,1.2,2.0,2.3,1.8,1.0,2.1,1.6
Jack Morris,1009211,4.0,4.7,4.0,4.1,4.0,1.4,2.9,4.1,3.7,1.7
Aurelio Lopez,1007753,0.4,2.2,1.5,0.4,-0.5,1.0,0.4,-1.0,0.1,-0.4
Jay Howell,1006098,2.3,0.9,0.0,2.2,1.5,0.8,1.1,0.5,0.7,-0.7
Phil Niekro,1009583,3.6,6.3,1.8,4.3,6.0,3.2,7.2,3.6,4.3,5.9
Buddy Groom,143,-0.3,0.6,0.1,0.6,1.1,1.1,1.9,1.4,0.0,0.4
Ted Power,1010504,1.4,0.4,1.1,2.0,0.8,1.1,0.3,0.4,0.5,0.5
Randy Johnson,60,7.0,5.2,9.5,1.6,7.0,7.6,9.5,9.6,10.4,8.1
Ron Reed,1010773,3.1,2.5,3.3,6.9,2.2,1.7,1.8,0.5,0.9,0.2
Roberto Hernandez,605,0.8,1.0,3.2,1.2,0.4,2.2,1.0,0.5,0.6,-1.1
