Name,playerid,WAR19
Larry Christenson,1002215,0.0
Dick Calmus,1001852,0.0
David Clyde,1002367,0.0
Mike Morgan,67,-0.2
Catfish Hunter,1006199,0.3
Jim Palmer,1009973,0.6
Mike McQueen,1008680,0.3
Vida Blue,1001094,-1.1
Bruce Robbins,1011019,0.7
Joe Moeller,1009023,-0.6
Don Gullett,1005134,0.9
Chris Zachary,1014404,0.2
Don Buschhorn,1001746,-0.5
Ray Sadecki,1011360,1.4
Felix Hernandez,4772,2.3
Bert Blyleven,1001098,3.6
Wally Bunker,1001652,2.6
Julio Urias,14765,1.7
Larry Dierker,1003288,2.4
Billy McCool,1008409,2.1
Dwight Gooden,1004852,8.3
Jose Rijo,349,0.6
Gary Nolan,1009616,5.3
Edwin Nunez,1009658,0.1
Terry Forster,1004236,0.5
Sam McDowell,1008476,0.1
Rick Ankiel,1142,1.1
