Name,playerid,WAR22
Freddy Garcia,1077,3.8
Brandon Lyon,1312,-0.2
Dan Petry,1010246,2.1
Mel Stottlemyre,1012579,1.8
Brian Anderson,44,1.3
Aaron Nola,16149,1.0
Tom Griffin,1005054,0.5
Zach Braddock,4553,0.6
Charlie Kerfeld,1006860,0.7
Chin-hui Tsao,1776,-0.2
Adam Loewen,2134,1.8
Storm Davis,1003080,4.7
Don Demola,1003197,0.0
Bob Sykes,1012798,0.9
Matt Capps,4788,0.5
Greg Reynolds,5712,-0.6
Hank Fischer,1004068,-0.1
Frank Pastore,1010048,3.4
Brian Matusz,2646,0.9
Robbie Erlin,10354,0.7
Dicky Gonzalez,777,0.8
Jose Fernandez,11530,2.1
Bill Bordley,1001200,-0.3
Larry Christenson,1002215,2.4
Bill Dillman,1003304,0.7
Ron Moeller,1009024,0.5
Ron Bryant,1001608,1.3
Dave Eiland,1003714,-0.1
Calvin Maduro,151,-0.6
Dustin Hermanson,195,-0.9
Kent Mercker,439,-0.2
Tim Collins,3164,0.8
Scott Bankhead,1000510,1.8
C.J. Nitkowski,570,-0.1
Jim Gott,1004898,1.0
Claude Osteen,1009878,2.1
Tom Seaver,1011708,3.3
Dave Ford,1004217,0.3
Fred Holdsworth,1005944,0.1
Jim Maloney,1008039,1.5
Sidney Ponson,161,1.4
Joel Zumaya,4699,0.2
Jim Clancy,1002255,3.0
Lance McCullers,1008436,0.7
Hal Reniff,1010833,0.0
Ken Hunt,1006210,1.1
Ugueth Urbina,216,0.9
Joe Ortiz,7955,0.2
Carter Capps,12803,-0.3
Dave Freisleben,1004333,1.9
Randall Delgado,5985,0.6
Allan Anderson,1000216,0.6
Danny Jackson,1006295,0.7
Chris Knapp,1007026,0.1
Joe Niekro,1009582,2.0
Daniel Norris,13475,0.5
Larry Demery,1003192,0.7
Dennis Eckersley,1003660,4.6
Rick Wise,1014155,2.0
Tom Hausman,1005505,0.4
Bryan Oelkers,1009736,-0.4
Dave Borkowski,2002,0.7
Severino Gonzalez,14697,0.3
Bill Atkinson,1000350,-0.4
Jim McGlothlin,1008532,0.3
Ruben Quevedo,705,0.6
Joey McLaughlin,1008614,0.6
Jason Isringhausen,1158,1.5
Shelby Miller,10197,2.1
Britt Burns,1001702,2.4
Fred Newman,1009542,3.4
Allen Watson,1013675,0.5
John Smoltz,115,4.0
Chad Billingsley,5842,2.2
Carlos Rodon,16137,1.8
Luke Weaver,16918,0.4
Mike Morgan,67,0.9
Luis Andujar,1000267,0.0
Bill Gullickson,1005136,4.8
Steve Howe,1006107,1.7
Catfish Hunter,1006199,1.4
Clay Kirby,1006960,-0.1
Dennys Reyes,444,0.9
Julian Tavarez,541,1.6
Al Leiter,883,0.5
Doyle Alexander,1000122,0.8
Dave Williams,1013,0.4
Norm McRae,1008688,-0.1
Gilberto Rondon,1011180,-0.7
Mat Latos,3815,4.3
Randy Tate,1012838,1.0
Juan Cruz,273,0.9
Mark Wohlers,414,0.3
Seth Greisinger,467,1.2
Ben Sheets,710,1.3
Mike Witt,1014174,0.7
Tom Carroll,1002007,0.3
Dave LaRoche,1007354,0.0
Matt Harrison,5551,0.6
Sparky Lyle,1007859,0.6
Andrew Miller,6785,0.3
Shane Rawley,1010719,0.9
Kevin Appier,3,3.2
Don Carrithers,1001992,-0.2
Amaury Telemaco,1802,0.0
Eric O'Flaherty,5746,0.6
Ben McDonald,1008454,1.8
Bill Short,1011929,-0.2
Steve Barber,1000530,1.7
Steve Crawford,1002749,0.3
Ed Farmer,1003935,-0.9
Jose Nunez,1410,0.5
Pat Combs,1002480,1.1
Paul Hartzell,1005467,1.4
Kirk Rueter,1128,1.4
Brett Cecil,2660,0.3
Kerry Taylor,1012881,-0.2
George Stone,1012565,1.3
Jose Lima,475,0.9
Ryan Dempster,517,0.7
Scott Mathieson,4771,0.0
Jose Rosado,1011192,2.5
Joel Pineiro,1094,2.0
Ken Brett,1001402,0.2
Nate Cornejo,462,0.2
Matt Cain,4732,4.1
Taijuan Walker,11836,1.8
Jerry Garvin,1004558,0.7
John Smiley,1012084,-0.1
Neftali Feliz,18,2.0
Erasmo Ramirez,10314,1.1
Richard Dotson,1003424,1.3
Eduardo Sanchez,2966,0.4
Sam Militello,1008865,0.5
Wil Ledezma,1669,0.1
A.J. Burnett,512,0.6
Tommy Hunter,1157,1.7
Bud Smith,1182,0.3
Matt Wisler,12804,0.3
Lance McCullers Jr.,14120,1.9
Wade Blasingame,1001057,0.6
Marty Bystrom,1001802,0.7
Matt Ford,1674,0.1
Derrick Turnbow,1694,-0.4
Alex Wood,13781,1.6
Kyle Crockett,15033,0.3
Kevin Morton,1009234,0.6
Jim Parque,250,1.0
Jesse Litsch,3688,0.6
Keone Kela,14696,1.5
Fred Cambria,1001857,0.4
Mike Torrez,1013134,0.4
Bob Kipper,1006956,-0.5
Tim Drew,380,-0.6
Jason Grimsley,602,0.6
Edinson Volquez,3990,-0.2
Victor Cruz,1002845,1.4
Bob Miller,1008877,0.3
Lary Sorensen,1012279,5.0
Carlos Pulido,1815,-0.5
Bo McLaughlin,1008608,0.7
Wayne Simpson,1011999,-0.4
Jose Parra,70,0.0
Paul Abbott,1061,0.4
Tyler Skaggs,10190,1.5
Al Downing,1003450,4.7
Rick Jones,1006584,-0.8
Dennis Ribant,1010890,0.4
Dan Warthen,1013644,2.5
Jeff Suppan,633,1.5
Steve Baker,1000467,-0.2
Shawn Hillegas,1005818,0.7
Matt Keough,1006858,3.2
Jim Slaton,1012054,0.0
Antonio Osuna,249,0.3
Andy Benes,1144,2.9
Huston Street,8258,2.3
Dan Larson,1007361,-0.6
Scott Olsen,4529,2.5
Bill Gogolewski,1004802,0.1
Brian Rose,1011201,-0.3
Burt Hooton,1006005,4.1
