Name,playerid,WAR25,WAR26,WAR27
Freddy Garcia,1077,3.4,1.6,4.8
Rich DeLucia,1003185,0.8,-0.3,0.1
Frank Funk,1004406,0.6,-0.3,-0.1
Steve Mura,1009337,1.3,1.2,0.5
Dan Petry,1010246,4.2,2.9,0.4
Mel Stottlemyre,1012579,2.5,2.9,3.7
Brian Anderson,44,0.4,1.0,1.7
Billy Wagner,578,2.2,1.8,3.6
Chris Capuano,1701,0.4,2.2,4.0
Chad Qualls,2170,0.3,0.7,0.2
Esmil Rogers,6317,-0.3,1.1,0.1
Tom Griffin,1005054,0.6,2.1,-0.4
Ricky Horton,1006036,0.7,1.1,-0.2
Octavio Dotel,555,0.6,0.8,3.3
Jason Schmidt,1131,2.9,3.0,0.7
Bryce Florie,1004172,0.0,0.4,0.9
Steve Stone,1012573,3.1,1.4,2.4
Pat Misch,5909,0.5,-0.1,-0.2
Masahiro Tanaka,15764,2.9,2.3,4.6
Jerry Augustine,1000365,1.7,1.0,-0.5
Danny Cox,1002695,3.2,3.1,2.2
Storm Davis,1003080,1.1,2.1,0.5
Vern Ruhle,1011297,1.8,0.5,1.3
Bobby Jones,1039,2.7,1.9,1.8
Matt Capps,4788,-0.1,1.1,-0.4
Nick Masset,7267,0.1,0.1,1.2
Frank Pastore,1010048,1.2,0.2,0.9
John Franco,874,1.4,1.5,1.1
Brandon Backe,1529,-0.1,0.5,1.1
Brian Matusz,2646,0.9,1.0,0.2
Zack Britton,3240,0.1,1.0,2.1
Matt Albers,4300,0.1,0.6,0.1
Keith Atherton,1000348,-0.4,-0.4,0.2
Don Cardwell,1001941,4.3,1.4,1.5
Larry Christenson,1002215,1.3,1.2,1.7
Jimmy Jones,1006569,-0.1,-0.2,1.5
Joey Jay,1006373,3.6,3.4,0.8
Jerry Koosman,1007103,3.6,5.4,2.3
Curt Schilling,73,4.2,4.5,0.8
Dustin Hermanson,195,3.1,4.0,1.4
Kent Mercker,439,1.1,1.6,1.5
John Cummings,1002874,0.3,0.2,0.1
Ray Lamb,1007278,-0.2,2.0,1.9
C.J. Nitkowski,570,0.2,0.5,1.0
