Name,playerid,WAR34,WAR35,WAR36
Freddy Garcia,1077,1.7,0.5,-0.3
Mike Cuellar,1002853,2.8,2.4,2.5
Billy Wagner,578,1.9,1.6,1.2
Chris Capuano,1701,1.4,0.7,-0.1
Chad Qualls,2170,0.5,0.5,0.4
Joe Nuxhall,1009665,5.4,1.2,2.4
Octavio Dotel,555,0.7,0.7,0.2
Sam Jones,1006590,3.9,1.4,0.5
John Franco,874,0.8,1.2,1.3
Doug Bair,1000439,0.3,0.4,0.4
Charlie Leibrandt,1007492,3.6,3.6,2.2
Francisco Cordero,1243,1.3,0.3,0.0
Jerry Koosman,1007103,4.6,3.2,5.5
Curt Schilling,73,7.2,9.3,5.6
Kent Mercker,439,-0.7,0.1,0.6
Tom Seaver,1011708,3.9,0.4,1.8
Ron Villone,1010,0.3,0.7,-0.1
Ron Guidry,1005124,4.9,3.0,2.2
Mike Magnante,929,1.0,0.1,0.0
Jamie Moyer,1091,3.2,5.2,4.6
Brad Ziegler,7293,0.0,0.7,1.3
Dick Donovan,1003395,4.2,1.9,1.9
Craig Lefferts,1007476,2.6,-0.3,-0.1
Koji Uehara,9227,1.8,1.3,1.2
Whitey Ford,1004227,5.2,6.8,4.6
Joe Niekro,1009582,1.8,3.4,2.2
Miguel Batista,46,0.5,2.9,2.2
Hank Aguirre,1000087,2.4,0.4,0.5
Dennis Eckersley,1003660,1.7,3.2,1.7
John Hiller,1005817,1.5,2.0,-1.6
Gaylord Perry,1010210,5.7,6.3,7.0
Mike Stanton,849,1.7,1.2,0.0
Geoff Zahn,1014410,3.6,1.1,3.5
Jon Lieber,287,3.5,3.1,2.4
Bob Patterson,1010055,0.3,0.1,0.7
Ed Whitson,1013911,2.7,5.2,0.3
Terry Leach,1007427,0.3,-0.1,1.5
John Smoltz,115,1.3,2.5,2.9
Dick Tidrow,1013056,-0.1,0.9,0.0
Mike Morgan,67,0.3,1.5,1.0
Jeremy Affeldt,583,-0.5,0.4,-0.8
Jason Frasor,1906,0.2,0.7,0.4
Joe Borowski,267,0.0,0.7,0.6
Julian Tavarez,541,0.8,0.1,0.1
Al Leiter,883,4.8,3.8,3.2
Doyle Alexander,1000122,4.0,3.9,3.2
J.J. Putz,1795,1.4,1.4,0.1
Bill Henry,1005665,0.0,0.7,0.5
Grant Jackson,1006298,-0.5,0.4,-0.7
Kent Tekulve,1012905,1.2,0.6,1.9
Lindy McDaniel,1008441,1.8,-1.0,0.3
Jamie Walker,502,0.5,0.8,-1.0
Woodie Fryman,1004381,0.9,2.3,2.6
Kenny Rogers,1277,3.5,4.3,0.8
Gary Lavelle,1007389,2.1,0.7,0.8
Sparky Lyle,1007859,0.6,0.1,-0.2
Charlie Hough,1006050,3.1,3.2,3.1
Jim Palmer,1009973,1.8,0.2,3.0
Matt Belisle,1837,0.4,0.1,0.7
Curt Simmons,1011980,5.1,3.0,2.7
Hideo Nomo,666,3.3,-0.4,0.1
Rick Reed,750,2.6,3.3,2.0
Danny Darwin,1002996,2.8,-0.1,3.1
Ryan Dempster,517,2.6,2.7,0.4
Dave Burba,1239,2.5,1.6,0.2
Paul Splittorff,1012346,0.7,1.9,2.2
Todd Jones,436,0.9,0.0,0.9
Orlando Hernandez,823,1.7,1.3,2.7
A.J. Burnett,512,0.6,3.5,3.9
Ted Abernathy,1000020,1.8,-0.7,0.0
Mike Myers,68,-0.3,-0.1,0.1
Mike Torrez,1013134,1.2,1.2,0.7
Dick Drago,1003475,2.5,-0.1,0.8
Jason Grimsley,602,0.8,0.5,0.2
Diego Segui,1011725,0.7,0.9,0.7
Graeme Lloyd,783,0.5,0.0,0.5
Rick Mahler,1007988,4.3,3.2,0.8
Jim Lonborg,1007724,3.2,1.8,-0.2
Jim Slaton,1012054,0.6,0.3,0.3
Ryne Duren,1003586,0.4,0.8,0.1
Clay Carroll,1001997,1.2,1.1,-0.4
Andy Pettitte,840,3.4,4.0,3.3
David Wells,855,4.3,4.4,3.9
Jim Rooker,1011183,1.6,0.8,0.6
Tim Worrell,1139,1.0,1.4,1.1
Guillermo Mota,1467,0.1,0.1,0.2
Bob Forsch,1004233,0.0,0.6,2.2
Dave Stewart,1012519,1.5,1.2,0.9
Derek Lowe,199,3.1,4.3,1.9
Dennis Lamp,1007284,0.5,1.3,1.6
Mike Marshall,1008144,0.8,1.9,2.1
Joe Hoerner,1005895,0.7,0.0,0.4
Wilbur Wood,1014248,1.2,0.6,-0.3
Paul Quantrill,669,1.5,1.0,0.1
Bob Gibson,1004662,9.8,5.2,6.4
Bill Krueger,1007175,1.9,1.4,0.6
John Candelaria,1001909,3.4,0.3,0.7
Bruce Chen,769,1.4,1.7,1.3
Ken Forsch,1004234,3.1,2.4,2.6
Ted Lilly,833,2.5,2.2,0.8
Ray Herbert,1005684,0.7,1.4,-0.5
Livan Hernandez,1116,1.8,2.5,1.5
Kevin Millwood,106,2.1,1.1,0.7
David Cone,1680,4.9,5.1,3.4
Luis Tiant,1013054,4.2,3.7,2.6
Nelson Figueroa,683,0.4,0.8,0.7
Bud Black,1001007,0.8,-0.1,0.2
Steve Farr,1003953,1.4,1.1,-0.7
Ray Moore,1009125,-0.4,-0.3,0.3
Ron Perranoski,1010201,0.8,-0.2,-0.2
Marty Pattin,1010074,0.3,-0.1,0.7
Bartolo Colon,375,1.0,0.5,0.2
Lee Smith,1012175,1.2,0.1,0.8
Kyle Lohse,739,1.7,1.9,-0.3
Hiroki Kuroda,3283,2.1,4.2,3.0
Bert Blyleven,1001098,7.0,2.9,2.2
Orel Hershiser,1005741,3.0,1.1,2.5
Rich Gossage,1004894,0.7,1.0,0.2
Dave Smith,1012117,0.7,0.9,-1.1
Tom Glavine,90,4.7,1.7,2.9
Dennis Martinez,1008161,3.1,4.6,4.2
Larry Gura,1005150,1.9,0.1,-0.4
Jim Brewer,1001406,0.6,0.1,0.1
Jason Grilli,521,0.5,1.3,1.5
John Lackey,1507,2.4,2.5,3.5
Matt Thornton,1918,1.4,1.3,0.1
Jimmy Key,1006885,0.6,2.7,2.8
Don Mossi,1009250,1.0,-0.3,1.2
Ryan Vogelsong,1011,1.9,-0.7,0.9
Greg Swindell,76,0.6,1.2,-0.1
Greg Maddux,104,7.2,6.3,3.9
Jim Bunning,1001653,6.8,6.8,0.6
Mark Gardner,1004529,1.4,1.4,2.0
Sonny Siebert,1011951,4.4,2.7,1.7
LaTroy Hawkins,729,0.2,0.8,0.5
Bob Buhl,1001637,1.8,1.9,0.7
Steve Trachsel,898,0.1,0.5,0.4
Don McMahon,1008629,0.8,0.1,0.1
Mike Timlin,1187,0.1,0.7,-0.3
Rick Aguilera,1000086,1.5,0.8,1.4
Bobby Shantz,1011804,0.7,1.6,1.0
Scott Downs,773,1.1,0.6,0.2
Gene Garber,1004493,2.2,-0.1,0.9
Javier Lopez,1663,0.5,0.7,-0.4
Larry Jackson,1006304,2.9,2.3,3.9
Harvey Haddix,1005184,3.3,2.7,1.8
Colby Lewis,1259,1.2,2.6,1.1
Roy Face,1003891,0.8,0.0,-0.3
Bob Walk,1013507,1.1,0.6,0.4
Brett Tomko,1056,1.2,0.5,0.0
Jack Billingham,1000970,1.0,2.0,1.7
Bill Campbell,1001874,2.0,0.6,0.2
Joaquin Benoit,1437,0.1,1.4,1.2
Bob Welch,1013750,0.6,0.6,0.1
Norm Charlton,1002160,-0.2,0.0,0.3
Arthur Rhodes,1097,-0.6,1.2,0.7
Mark Langston,1007323,4.1,1.7,0.0
Robin Roberts,1011046,0.7,3.5,2.0
Cal McLish,1008626,0.7,1.6,1.7
Fred Gladding,1004751,0.7,0.0,0.4
Mark Hendrickson,1574,1.0,0.3,0.3
Scott Atchison,2642,-0.1,0.3,0.8
Darold Knowles,1007058,0.4,-0.2,-0.2
Jim Corsi,1002644,0.5,1.2,0.6
David Weathers,902,-0.3,0.7,-0.4
Mike Mussina,837,6.1,3.0,2.6
Alan Embree,1030,0.4,-0.3,1.1
Elmer Dessens,317,0.5,0.6,0.0
Joe Gibbon,1004658,-0.2,0.0,-0.1
Doug Henry,1005668,-0.4,-0.6,-0.6
Tom Candiotti,1001911,3.5,4.2,2.5
Mike Remlinger,111,1.0,1.5,1.5
Jesse Orosco,667,0.5,0.3,2.0
Mike Flanagan,1004133,2.6,3.1,1.1
Rick Honeycutt,1005992,0.4,0.6,0.9
Tim Belcher,1000789,3.8,1.9,1.9
Steve Carlton,1001964,4.3,8.8,5.3
Jim Kaat,1006660,2.7,5.2,5.1
Al Levine,20,-0.4,-0.3,-0.3
Stu Miller,1008935,0.7,1.6,1.1
Al Worthington,1014260,0.2,1.2,0.5
Paul Byrd,594,3.3,1.7,1.8
Stan Bahnsen,1000414,-0.1,-0.1,-0.6
Brian Shouse,630,1.2,0.6,0.0
Mariano Rivera,844,2.5,2.9,2.2
Vern Law,1007410,2.3,3.4,2.3
Fred Norman,1009632,1.8,0.8,2.9
Mark Buehrle,225,2.2,3.7,2.0
Jim Bibby,1000945,2.5,2.6,1.7
Juan Berenguer,1000865,0.3,-0.1,0.7
Dick Hall,1005241,1.6,0.3,0.9
Trever Miller,1672,0.1,0.6,0.5
Tom Gordon,282,0.7,2.1,2.8
R.A. Dickey,1245,-0.4,2.8,2.6
Joel Peralta,2332,0.7,1.0,0.9
Fergie Jenkins,1006388,2.3,5.3,2.0
Don Sutton,1012745,3.7,3.0,3.9
Jose Mesa,961,0.4,1.6,0.6
Fernando Rodney,494,-0.4,2.2,1.2
