Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Dave Burba,1239,0.6,1.2,2.3,1.1,1.8,3.0
Mike Henneman,1005656,0.5,1.2,1.8,1.2,1.2,0.0
Alejandro Pena,1010140,0.4,0.8,1.7,1.1,1.3,1.0
Paul Splittorff,1012346,1.4,2.0,0.9,3.7,2.9,1.8
Todd Jones,436,0.4,-0.4,1.8,0.3,0.8,1.4
Joel Pineiro,1094,0.4,0.4,0.6,4.3,2.1,0.6
Ray King,693,0.5,0.5,0.6,0.8,-0.1,-0.2
Xavier Hernandez,1005715,2.1,-0.1,0.9,0.0,-0.1,0.3
John Smiley,1012084,5.0,0.8,2.6,4.3,4.5,1.4
John Tudor,1013215,0.2,3.5,1.8,2.5,6.4,2.1
Ramon Ortiz,27,0.7,2.3,1.6,0.8,0.8,0.3
Roger McDowell,1008475,0.8,0.4,0.8,0.1,0.1,0.1
A.J. Burnett,512,2.9,5.0,2.9,2.3,5.0,2.8
Luke Gregerson,4090,0.6,0.6,1.2,0.9,1.1,1.1
Mike Myers,68,1.1,-0.5,0.0,0.0,0.9,0.6
Dave Schmidt,1011580,1.5,1.2,0.9,2.2,0.7,-0.2
Mike Torrez,1013134,2.4,2.4,3.3,2.3,3.3,3.3
Reggie Cleveland,1002347,1.6,2.6,2.7,1.0,-0.7,1.3
Dick Drago,1003475,2.9,2.8,1.9,0.8,-0.6,0.5
Edinson Volquez,3990,-0.3,1.4,0.7,0.7,2.7,1.7
Bob Miller,1008877,0.3,-1.0,0.7,1.7,0.0,0.8
Diego Segui,1011725,1.6,0.8,0.6,0.3,1.3,2.2
Bob Shirley,1011911,0.1,0.1,1.0,0.9,2.4,0.2
Graeme Lloyd,783,0.6,0.1,0.7,-0.1,0.4,0.1
Al Downing,1003450,0.2,1.5,0.5,3.1,2.2,1.9
Jeff Suppan,633,1.3,2.7,1.4,1.8,1.9,2.6
Jim Lonborg,1007724,1.8,0.7,1.9,2.3,0.8,4.4
Andy Benes,1144,3.3,2.4,5.1,3.3,1.3,1.6
Clay Carroll,1001997,1.0,0.6,1.4,0.2,0.4,0.4
Andy Pettitte,840,2.6,3.9,5.8,3.9,5.1,1.9
Burt Hooton,1006005,5.2,3.3,4.4,1.8,3.3,1.8
Scott Linebrink,564,1.4,1.8,1.0,-0.5,0.5,0.1
Ramiro Mendoza,836,1.9,0.5,1.7,1.3,-0.1,0.1
David Wells,855,3.8,2.5,0.4,3.0,2.3,3.7
Casey Janssen,7355,0.2,0.3,1.2,1.1,1.2,0.1
Rick Reuschel,1010852,4.8,6.5,4.5,3.9,4.7,3.0
Mike Jackson,732,0.4,0.9,1.1,0.3,0.7,1.7
Doug Davis,1244,0.7,4.4,3.7,2.8,2.2,2.3
Vida Blue,1001094,4.9,5.6,1.1,3.3,1.0,1.5
Juan Guzman,1005162,1.8,1.8,4.6,-0.2,2.8,2.5
Jesse Jefferson,1006380,-0.4,2.4,0.7,-0.5,0.9,0.6
Bob Ojeda,1009756,3.1,4.2,0.5,5.1,1.0,0.7
Jim Rooker,1011183,2.9,0.8,1.2,2.9,5.4,1.9
Guillermo Mota,1467,-0.3,0.4,2.1,1.3,0.6,-0.3
Bob Forsch,1004233,2.0,1.8,2.8,3.5,1.4,2.1
Dan Spillner,1012342,1.4,1.4,1.6,2.6,0.3,0.4
Dave Stewart,1012519,0.5,-0.1,1.5,4.8,5.1,3.2
