Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Greg Minton,1008986,0.7,1.1,0.5,0.7,-0.4,-0.5
Paul Lindblad,1007614,0.2,-0.1,0.3,0.2,-0.3,1.5
Tom Murphy,1009376,1.5,0.3,0.1,-0.2,-0.2,-0.6
Curtis Leskanic,694,2.7,0.2,0.4,0.2,1.0,0.5
Aaron Fultz,1113,0.5,-0.1,0.2,0.1,0.6,0.8
Doug Fister,9425,5.4,3.5,4.0,1.5,0.1,0.8
Dave Hamilton,1005271,1.3,0.3,0.2,-0.7,0.9,-1.1
Jim Perry,1010213,1.5,0.6,1.7,2.9,1.8,2.3
Pete Richert,1010922,2.5,0.1,0.7,0.8,0.1,0.3
Brian Fuentes,429,1.1,0.6,1.5,0.9,0.9,2.5
Roy Halladay,1303,2.8,3.8,5.1,5.1,6.6,7.0
Aaron Harang,1451,4.6,5.7,5.4,1.4,2.2,0.7
Scott Erickson,137,3.4,3.6,4.7,5.2,2.0,0.2
Matt Guerrier,2061,0.0,0.7,-0.7,0.1,0.1,0.8
Jeff Reardon,1010741,0.7,1.0,1.2,0.1,0.7,1.6
Bob Knepper,1007031,2.7,1.6,2.6,1.7,2.8,3.5
Gary Bell,1000806,-0.4,0.7,5.0,2.8,3.6,-0.7
Skip Lockwood,1007696,-0.2,0.8,2.3,2.3,0.4,0.9
Paul Shuey,406,0.5,1.8,1.5,1.8,1.0,0.3
Ken Hill,1005827,2.6,2.3,1.4,5.6,1.9,1.7
Kevin Brown,642,6.3,4.4,3.4,4.5,6.7,6.5
Jered Weaver,4235,5.8,5.4,3.0,2.3,1.3,0.8
Justin Verlander,8700,6.6,6.5,6.9,4.8,3.2,3.1
Kirk McCaskill,1008382,2.6,3.2,2.4,1.3,2.7,1.1
Juan Pizarro,1010382,3.9,0.9,-0.3,0.4,0.0,-0.1
Dan Plesac,1319,0.9,0.9,0.0,0.6,-0.2,0.3
Vicente Padilla,964,0.6,3.2,0.7,1.5,1.7,0.7
Kent Bottenfield,1001226,0.5,-0.1,1.4,2.3,0.9,-0.5
Pete Harnisch,1005374,0.3,1.7,0.7,-0.1,3.2,2.9
Tom Henke,1005649,1.1,3.5,3.3,1.0,3.5,1.5
Claude Raymond,1010732,0.8,2.0,0.3,-0.4,0.0,-0.2
Frank Tanana,1012818,1.2,2.6,2.6,2.1,3.6,2.3
Matt Morris,1172,4.2,2.8,1.1,2.7,2.3,2.5
Aaron Cook,1571,3.6,2.1,4.7,1.4,1.1,0.8
Frank Francisco,1933,0.4,1.6,1.1,1.1,0.4,0.2
Willie Hernandez,1005714,1.4,1.4,3.2,1.7,0.8,-0.1
Mike Fetters,988,0.5,0.1,0.9,0.5,1.4,1.2
Jake Peavy,1051,3.7,2.7,1.8,2.9,4.4,2.0
Woody Williams,1190,0.5,0.3,0.9,1.4,1.3,1.5
Floyd Bannister,1000516,4.9,5.0,2.0,2.5,2.5,2.3
Jose DeLeon,1003168,4.6,4.6,2.8,1.8,1.2,-0.3
Rollie Fingers,1004051,3.3,2.2,4.1,2.1,2.3,0.3
Dave Goltz,1004818,3.3,6.0,4.4,4.6,2.0,1.0
Steve Rogers,1011138,7.0,3.7,4.2,4.0,3.0,6.4
Jaime Navarro,1009465,1.0,3.3,3.2,3.2,-0.6,0.0
John Wetteland,1013815,1.4,1.7,1.2,1.6,2.0,1.2
Pat Hentgen,145,6.0,3.8,0.7,1.9,2.2,0.9
Doug Drabek,1003473,4.2,3.9,4.8,4.1,2.9,2.6
Chuck Finley,384,4.8,2.9,1.3,5.1,3.4,4.4
Bill Hands,1005303,1.6,3.1,6.5,6.4,3.7,3.8
Ken Johnson,1006477,0.8,0.6,4.5,4.1,2.9,3.9
Mickey Lolich,1007712,3.2,6.0,5.1,8.3,6.1,5.4
John Curtis,1002905,0.2,-0.3,0.0,0.5,0.8,1.6
Moe Drabowsky,1003474,2.4,0.6,0.0,1.3,1.4,0.2
Robert Person,966,0.9,-0.9,0.6,3.4,1.7,0.1
Kevin Gregg,1793,0.0,0.7,1.1,0.9,-0.3,0.8
Jason Johnson,147,1.1,1.7,2.1,2.7,2.6,0.8
Tim Hudson,921,5.8,4.6,1.8,2.5,4.9,1.9
Mark Portugal,1010460,1.7,0.9,0.7,3.4,1.2,2.2
Dave Roberts,1011031,1.8,4.2,3.2,1.8,3.2,1.7
Mike Scott,1011691,0.3,1.7,2.2,1.7,8.6,5.4
Cliff Lee,1636,2.3,0.1,6.8,6.4,7.4,7.1
Roy Oswalt,571,6.1,6.1,4.9,3.7,3.5,4.4
Mike Boddicker,1001111,3.8,2.9,3.3,4.0,2.9,4.1
Pat Dobson,1003345,1.0,3.2,5.6,4.9,1.8,4.4
Tug McGraw,1008545,1.6,-0.1,-0.2,0.7,1.3,1.1
Nolan Ryan,1011348,6.8,2.4,5.3,6.6,5.0,5.1
Willie Blair,1001033,1.0,0.2,1.1,-0.3,3.0,-0.1
Tom Hume,1006179,1.4,-1.0,0.5,-1.2,-0.5,0.0
Rick Helling,58,3.5,1.3,2.6,2.1,1.5,0.4
Mike Caldwell,1001830,1.4,1.1,6.3,4.4,1.1,0.2
Lee Guetterman,1005122,0.4,1.4,0.2,1.0,1.2,0.4
Bruce Kison,1006978,2.0,1.5,3.0,0.6,-0.3,1.8
Sam McDowell,1008476,7.6,1.4,1.6,1.3,-0.5,0.5
Clyde Wright,1014272,0.0,0.3,2.0,3.9,1.4,0.8
Zane Smith,1012218,1.6,2.2,4.0,4.6,2.2,1.2
James Shields,7059,3.4,2.1,4.9,3.8,4.1,3.4
Mike LaCoss,1007240,0.1,1.8,0.0,1.9,1.4,1.6
Frank Linzy,1007643,0.3,0.8,0.3,0.1,-0.3,-0.2
Steve Renko,1010835,-0.4,2.7,3.7,0.7,3.3,1.2
Earl Wilson,1014073,1.9,2.3,1.5,3.5,4.2,1.7
Jack Morris,1009211,2.2,6.2,4.0,4.7,4.0,4.1
Elias Sosa,1012284,0.6,1.3,1.5,1.5,0.1,-0.6
Craig Breslow,4363,0.9,0.4,0.5,0.4,0.6,0.5
Mike Smithson,1012181,0.5,4.0,2.7,3.2,1.9,0.5
Ricky Bones,1001161,-0.4,0.3,0.4,-0.1,0.9,-0.3
Jay Howell,1006098,1.0,2.9,2.3,0.9,0.0,2.2
Sid Monge,1009053,0.5,2.1,-0.3,-0.2,-0.2,-0.6
Jim Colborn,1002409,5.1,1.1,1.8,2.3,2.1,-0.8
Dan Quisenberry,1010622,1.9,1.1,1.5,2.7,1.5,2.7
Darren Oliver,206,1.4,3.3,0.9,1.2,0.1,2.2
Santiago Casilla,2873,0.3,-0.2,0.6,0.3,-0.5,-0.2
Bronson Arroyo,978,3.3,2.4,4.6,3.4,2.2,1.4
Hal Woodeshick,1014215,1.0,0.1,2.9,1.3,0.3,0.5
Pedro Martinez,200,11.6,9.4,5.5,7.4,7.4,4.9
Rudy May,1008310,2.6,1.5,2.7,4.0,2.2,2.2
Jay Witasick,1138,1.1,1.4,0.7,-0.2,0.1,1.0
Bruce Dal Canton,1002936,0.2,0.5,2.1,2.3,0.0,2.5
John Halama,1080,2.4,2.3,0.1,1.1,0.1,0.5
Chris Bosio,1001212,1.4,3.3,3.8,2.8,1.7,2.0
Dick Bosman,1001215,1.0,2.6,-0.6,1.4,1.6,0.3
Pat Rapp,1010700,2.2,1.1,0.5,1.2,1.6,2.2
Nate Robertson,1620,1.4,2.2,1.8,1.1,0.5,0.5
Justin Speier,451,0.2,0.4,0.5,0.4,0.4,1.0
Dave Veres,1188,0.4,1.8,0.2,0.3,1.5,0.2
John Denny,1003210,1.9,2.2,2.2,5.8,2.7,2.9
Phil Niekro,1009583,-0.4,3.6,3.6,6.3,1.8,4.3
Buddy Groom,143,0.1,0.2,-0.3,0.6,0.1,0.6
Felix Rodriguez,1127,1.7,2.1,0.5,0.2,0.2,0.0
Ted Power,1010504,-0.4,0.0,1.4,0.4,1.1,2.0
Randy Johnson,60,2.6,3.4,7.0,5.2,9.5,1.6
Robb Nen,1123,0.6,3.6,1.3,2.5,2.4,3.1
Sid Fernandez,1004001,3.2,0.8,4.9,0.9,0.3,0.8
Omar Olivares,1009771,0.0,2.0,1.9,1.6,2.7,0.8
Camilo Pascual,1010039,5.3,6.8,5.4,4.1,2.1,1.5
Steve Bedrosian,1000766,1.7,0.3,0.8,0.6,-1.1,-0.6
Lee Stange,1012400,1.6,1.8,2.0,3.5,0.4,0.9
Aaron Sele,34,0.8,4.7,4.9,4.3,2.7,1.3
Bob Locker,1007688,0.7,1.6,1.4,1.0,0.6,1.1
Kevin Tapani,1012824,4.6,4.5,4.3,3.4,2.2,2.7
Ervin Santana,3200,2.1,2.5,-0.8,2.6,3.2,1.5
Shane Reynolds,574,4.9,5.5,3.0,4.5,6.0,1.5
Ron Reed,1010773,1.5,2.9,3.1,2.5,3.3,6.9
Roberto Hernandez,605,1.7,1.9,0.8,1.0,3.2,1.2
Kip Wells,1012,1.9,0.4,0.4,0.9,-0.2,0.0
Milt Wilcox,1013939,1.5,3.0,2.8,2.0,2.8,2.4
