Name,playerid,WAR20,WAR21
Dan Petry,1010246,1.1,2.5
Storm Davis,1003080,1.8,3.7
Jose Fernandez,11530,4.2,1.8
Jim Maloney,1008039,0.7,-0.6
Dennis Eckersley,1003660,2.8,4.6
Rick Wise,1014155,1.9,3.4
Catfish Hunter,1006199,1.8,5.2
Dennys Reyes,444,0.5,1.2
Doyle Alexander,1000122,0.9,1.1
Chad Gaudin,1783,0.2,0.3
Ed Correa,1002637,3.4,-0.6
Mike Witt,1014174,1.6,3.8
Jim Palmer,1009973,2.0,-0.1
Ken Brett,1001402,0.0,2.0
Matt Cain,4732,0.7,3.8
Wade Blasingame,1001057,-0.3,0.7
Mike McQueen,1008680,0.1,-0.5
Victor Cruz,1002845,1.2,-0.1
Jim Roland,1011156,0.5,0.0
Vida Blue,1001094,1.5,8.8
Gil Meche,1089,0.4,1.5
Don Gullett,1005134,2.6,1.0
Zack Greinke,1943,1.8,2.0
Bill Stafford,1012375,1.3,3.2
Ray Sadecki,1011360,1.8,0.7
Felix Hernandez,4772,3.3,3.5
Oliver Perez,1514,0.6,0.4
Bert Blyleven,1001098,7.5,5.9
Wally Bunker,1001652,1.7,1.2
Rich Gossage,1004894,0.5,-0.8
Dave Morehead,1009156,1.6,1.9
Dave Boswell,1001222,-0.3,3.0
Greg Maddux,104,0.4,1.5
Clayton Kershaw,2036,1.3,4.1
Joel Davis,1003061,1.0,1.1
Larry Dierker,1003288,2.1,1.9
Billy McCool,1008409,1.5,1.9
Ramon Martinez,1008193,0.4,0.8
Gene Nelson,1009501,-0.3,0.9
Dave McNally,1008655,1.2,1.4
Ken Holtzman,1005989,3.0,0.2
Dick Ellsworth,1003754,2.3,2.2
Alex Fernandez,1003993,1.4,2.7
Dwight Gooden,1004852,8.9,4.8
Jose Rijo,349,1.3,1.7
Jeremy Bonderman,1667,1.3,2.4
CC Sabathia,404,2.7,3.6
Roberto Osuna,13764,1.3,1.7
Tony Cloninger,1002359,-0.4,1.1
Manny Sarmiento,1011450,0.4,-0.1
Jeff D'Amico,871,0.0,0.7
Gary Nolan,1009616,2.3,1.7
Dave Rozema,1011273,3.2,3.1
Madison Bumgarner,5524,1.7,4.3
Bart Johnson,1006422,0.9,2.3
Edwin Nunez,1009658,0.3,0.7
Fernando Valenzuela,1013327,4.9,6.1
Steve Avery,1706,1.5,2.6
Rick Porcello,2717,1.7,1.9
Dan Schneider,1011592,0.0,-0.4
Scott Kazmir,4897,0.5,3.6
Denny McLain,1008603,0.6,4.0
Dennis Blair,1001029,1.8,0.0
Frank Tanana,1012818,3.6,7.2
Bob Moose,1009134,3.6,3.8
Jon Garland,232,0.4,0.3
Terry Forster,1004236,2.3,3.1
Tug McGraw,1008545,0.1,-0.4
Sam McDowell,1008476,0.6,3.7
Bret Saberhagen,1011355,1.9,6.2
Jordan Lyles,7593,0.4,0.8
Gary Ross,1011230,0.4,0.2
Joe Coleman,1002428,1.7,2.5
