Name,playerid,WAR26,WAR27,WAR28
Freddy Garcia,1077,1.6,4.8,4.0
Brandon Lyon,1312,0.7,1.5,0.7
Clayton Mortensen,3166,-0.1,-0.3,-0.2
Bobby Chouinard,1002204,0.2,0.5,0.4
Rich DeLucia,1003185,-0.3,0.1,0.4
Dan Petry,1010246,2.9,0.4,0.1
Mel Stottlemyre,1012579,2.9,3.7,3.1
Brian Anderson,44,1.0,1.7,2.0
Chris Capuano,1701,2.2,4.0,1.9
Chad Qualls,2170,0.7,0.2,0.8
Esmil Rogers,6317,1.1,0.1,-0.2
Tom Griffin,1005054,2.1,-0.4,0.0
Ricky Horton,1006036,1.1,-0.2,0.3
Octavio Dotel,555,0.8,3.3,2.8
Jason Schmidt,1131,3.0,0.7,3.0
Bryce Florie,1004172,0.4,0.9,1.4
Steve Stone,1012573,1.4,2.4,0.9
Greg Aquino,1899,0.0,-0.4,0.0
Pat Misch,5909,-0.1,-0.2,0.6
Jerry Augustine,1000365,1.0,-0.5,0.3
Danny Cox,1002695,3.1,2.2,1.0
Storm Davis,1003080,2.1,0.5,1.4
Andy McGaffigan,1008497,0.7,1.1,2.7
Vern Ruhle,1011297,0.5,1.3,0.4
Bobby Jones,1039,1.9,1.8,1.8
Nick Masset,7267,0.1,1.2,0.9
Frank Pastore,1010048,0.2,0.9,-0.1
John Franco,874,1.5,1.1,1.3
Brandon Backe,1529,0.5,1.1,0.4
Brian Matusz,2646,1.0,0.2,0.5
Zack Britton,3240,1.0,2.1,2.5
Matt Albers,4300,0.6,0.1,0.1
Brian Wilson,6485,0.6,2.2,2.5
Keith Atherton,1000348,-0.4,0.2,0.2
Bruce Berenyi,1000864,2.2,4.3,3.0
Larry Christenson,1002215,1.2,1.7,4.2
Jimmy Jones,1006569,-0.2,1.5,0.7
Joey Jay,1006373,3.4,0.8,3.4
Jerry Koosman,1007103,5.4,2.3,2.2
Curt Schilling,73,4.5,0.8,2.8
Dustin Hermanson,195,4.0,1.4,0.5
Kent Mercker,439,1.6,1.5,-0.3
Daisuke Matsuzaka,7775,2.9,2.7,0.3
Ray Lamb,1007278,2.0,1.9,0.4
Wally Whitehurst,1013896,0.8,1.9,1.3
C.J. Nitkowski,570,0.5,1.0,-0.6
Sergio Romo,9817,1.1,1.2,2.0
Al Hrabosky,1006116,0.8,-0.6,0.8
Claude Osteen,1009878,4.8,3.8,1.9
Tom Seaver,1011708,9.1,5.6,7.3
Jae Seo,895,3.2,0.3,1.9
Manny Delcarmen,3180,1.1,0.0,-0.6
Don Carman,1001967,1.6,1.0,1.2
Rawly Eastwick,1003648,0.3,-0.2,0.2
Jim Kern,1006868,0.5,3.6,2.4
Jim Maloney,1008039,4.9,4.5,2.9
Sidney Ponson,161,4.4,3.0,1.0
Jim Clancy,1002255,4.3,2.8,1.8
Ron Guidry,1005124,5.7,9.1,6.2
Jack Kralick,1007135,5.1,3.8,3.8
Hal Reniff,1010833,0.4,1.0,0.3
Allen Ripley,1010979,0.0,0.7,1.0
Mike Magnante,929,0.5,0.5,0.4
Jamie Moyer,1091,0.2,1.0,-0.2
Tony Watson,3132,-0.3,0.6,0.6
