Name,playerid,WAR22,WAR23,WAR24
Freddy Garcia,1077,3.8,1.0,5.3
Dan Petry,1010246,2.1,4.4,1.3
Mel Stottlemyre,1012579,1.8,4.5,3.6
Brian Anderson,44,1.3,-0.3,0.4
Tom Griffin,1005054,0.5,0.0,1.0
Storm Davis,1003080,4.7,3.0,2.6
Bob Sykes,1012798,0.9,0.4,-0.4
Matt Capps,4788,0.5,1.8,1.3
Hank Fischer,1004068,-0.1,0.5,1.6
Frank Pastore,1010048,3.4,1.9,2.4
Brian Matusz,2646,0.9,2.8,-1.1
Larry Christenson,1002215,2.4,2.7,4.6
Ron Bryant,1001608,1.3,1.8,1.6
Dave Eiland,1003714,-0.1,0.7,0.2
Kent Mercker,439,-0.2,0.7,0.0
Scott Bankhead,1000510,1.8,0.9,3.6
Jim Gott,1004898,1.0,2.8,1.5
Claude Osteen,1009878,2.1,2.3,4.4
Tom Seaver,1011708,3.3,5.8,4.4
Dave Ford,1004217,0.3,-0.4,0.3
Jim Maloney,1008039,1.5,6.4,4.9
Sidney Ponson,161,1.4,3.2,1.3
Jim Clancy,1002255,3.0,0.4,3.2
Lance McCullers,1008436,0.7,1.7,-0.2
Ugueth Urbina,216,0.9,0.8,2.2
Dave Freisleben,1004333,1.9,0.8,1.2
Randall Delgado,5985,0.6,-0.1,0.5
Danny Jackson,1006295,0.7,4.6,2.9
Chris Knapp,1007026,0.1,1.5,1.4
Joe Niekro,1009582,2.0,-0.1,1.6
Larry Demery,1003192,0.7,1.1,-0.8
Dennis Eckersley,1003660,4.6,3.9,4.4
Rick Wise,1014155,2.0,3.7,3.8
Jim McGlothlin,1008532,0.3,3.1,1.7
Ruben Quevedo,705,0.6,-0.3,-0.6
Joey McLaughlin,1008614,0.6,0.3,1.2
Shelby Miller,10197,2.1,0.6,3.7
Britt Burns,1001702,2.4,3.2,3.1
Fred Newman,1009542,3.4,3.8,0.9
Allen Watson,1013675,0.5,0.3,-0.1
John Smoltz,115,4.0,3.6,3.7
Chad Billingsley,5842,2.2,3.9,2.7
Luis Andujar,1000267,0.0,-0.2,-0.1
Bill Gullickson,1005136,4.8,2.8,3.4
Steve Howe,1006107,1.7,0.7,2.0
Catfish Hunter,1006199,1.4,1.3,3.1
Clay Kirby,1006960,-0.1,4.4,1.6
Dennys Reyes,444,0.9,0.0,0.5
Julian Tavarez,541,1.6,0.9,0.0
Doyle Alexander,1000122,0.8,0.6,1.2
Mat Latos,3815,4.3,4.1,2.7
Juan Cruz,273,0.9,0.1,0.7
Mark Wohlers,414,0.3,0.8,1.0
Ben Sheets,710,1.3,3.8,3.8
Mike Witt,1014174,0.7,5.9,4.7
Dave LaRoche,1007354,0.0,1.0,0.1
Matt Harrison,5551,0.6,0.5,-0.1
Sparky Lyle,1007859,0.6,0.8,1.3
Andrew Miller,6785,0.3,1.9,0.7
Shane Rawley,1010719,0.9,1.9,1.6
Kevin Appier,3,3.2,4.7,4.8
Don Carrithers,1001992,-0.2,0.4,0.2
Amaury Telemaco,1802,0.0,0.7,0.9
Ben McDonald,1008454,1.8,1.3,2.0
Steve Barber,1000530,1.7,3.5,2.3
Ed Farmer,1003935,-0.9,-0.2,-0.3
Pat Combs,1002480,1.1,2.0,-0.2
Paul Hartzell,1005467,1.4,2.9,1.7
Kirk Rueter,1128,1.4,1.0,1.0
Brett Cecil,2660,0.3,2.5,0.5
George Stone,1012565,1.3,2.8,2.7
Jose Lima,475,0.9,0.6,0.4
Ryan Dempster,517,0.7,3.4,2.2
Jose Rosado,1011192,2.5,2.2,3.7
Joel Pineiro,1094,2.0,2.5,3.5
Ken Brett,1001402,0.2,0.7,2.6
Matt Cain,4732,4.1,3.7,3.3
John Smiley,1012084,-0.1,3.5,2.2
Neftali Feliz,18,2.0,1.0,0.6
Erasmo Ramirez,10314,1.1,0.1,-0.6
Richard Dotson,1003424,1.3,2.4,2.9
Wil Ledezma,1669,0.1,1.0,-0.2
A.J. Burnett,512,0.6,0.9,1.4
Tommy Hunter,1157,1.7,1.0,0.5
Wade Blasingame,1001057,0.6,0.1,0.0
Marty Bystrom,1001802,0.7,1.4,2.2
Alex Wood,13781,1.6,2.9,2.7
Jim Parque,250,1.0,1.7,2.8
Mike Torrez,1013134,0.4,1.6,-0.4
Bob Kipper,1006956,-0.5,-0.4,0.5
Edinson Volquez,3990,-0.2,0.5,3.6
Bob Miller,1008877,0.3,0.7,2.7
Lary Sorensen,1012279,5.0,1.9,2.4
Wayne Simpson,1011999,-0.4,-0.1,0.9
Al Downing,1003450,4.7,4.2,3.0
Dennis Ribant,1010890,0.4,-0.2,1.6
Dan Warthen,1013644,2.5,-0.1,-1.0
Jeff Suppan,633,1.5,0.5,2.8
Shawn Hillegas,1005818,0.7,0.6,0.4
Matt Keough,1006858,3.2,1.6,2.2
Jim Slaton,1012054,0.0,2.4,2.1
Antonio Osuna,249,0.3,1.2,0.8
Andy Benes,1144,2.9,3.6,4.7
Huston Street,8258,2.3,1.4,1.1
Scott Olsen,4529,2.5,0.5,1.2
Bill Gogolewski,1004802,0.1,2.3,1.6
Brian Rose,1011201,-0.3,0.2,0.4
Burt Hooton,1006005,4.1,5.3,2.4
Felix Heredia,1304,0.4,0.7,0.3
John Danks,6329,0.6,5.0,2.7
Ryan Perry,8799,0.2,0.2,0.2
Tom Hall,1005262,4.1,2.1,1.1
Jason Jennings,434,0.9,2.1,2.2
Mike Jackson,732,0.0,0.7,0.6
Vida Blue,1001094,2.1,2.1,5.5
Dean Chance,1002130,4.8,7.6,3.2
Jason Bere,266,2.1,1.9,-0.1
Martin Perez,6902,1.4,0.7,1.7
Dan Spillner,1012342,1.0,1.5,-0.4
Jonathan Broxton,4759,1.4,1.9,2.0
Bill Greif,1005027,-0.2,1.9,2.1
Mike Norris,1009637,-0.3,0.2,1.0
Dontrelle Willis,1703,3.1,6.5,3.0
Gerrit Cole,13125,2.3,2.1,5.1
Yusmeiro Petit,4020,0.2,0.1,0.1
Jon Matlack,1008246,4.9,4.7,7.5
Mike McCormick,1008420,2.5,-1.0,-0.1
Neal Heaton,1005568,0.4,2.4,1.3
Mark Mulder,932,1.2,5.7,3.9
Brett Anderson,8223,2.5,1.0,0.9
John Candelaria,1001909,2.5,2.9,2.7
Bill Parsons,1010026,3.0,0.3,-0.9
Bruce Chen,769,-0.1,1.7,0.5
Will Smith,8048,0.7,0.5,0.5
Carlos Villanueva,4138,0.5,0.4,0.7
Cole Hamels,4972,2.6,3.9,4.7
Andy Hassler,1005480,1.1,1.1,1.5
Pete Schourek,1011608,0.5,1.3,0.9
Livan Hernandez,1116,1.9,0.4,2.9
Carlos Martinez,11682,1.4,3.3,3.2
Kevin Millwood,106,1.3,3.4,5.5
Edwin Jackson,1841,0.1,1.2,1.5
Kevin Gross,1005088,0.5,1.3,3.6
Don Gullett,1005134,2.5,4.2,2.4
Joe Magrane,1007973,2.9,3.0,4.7
Bill Stafford,1012375,2.0,-0.8,0.4
Dan Reichert,624,0.2,1.4,0.8
Nelson Briles,1001432,1.2,2.1,2.4
Mark Gubicza,1005115,2.2,3.0,3.8
Melido Perez,1010183,1.5,0.8,3.4
Blue Moon Odom,1009726,-0.1,2.7,2.9
Dave Fleming,1004145,4.4,1.6,0.5
Ray Sadecki,1011360,1.2,3.7,1.2
Kyle Lohse,739,0.3,1.2,2.8
Felix Hernandez,4772,3.6,7.0,6.8
Oliver Perez,1514,4.5,-0.8,0.1
Bert Blyleven,1001098,10.8,8.5,6.2
Wally Bunker,1001652,0.5,1.3,2.3
Bob Hendley,1005637,0.8,2.8,0.9
Anibal Sanchez,3284,1.9,0.0,0.3
Chris Sale,10603,1.1,4.8,4.9
Ken Cloude,1002362,0.4,0.2,-0.5
Rich Gossage,1004894,0.7,4.0,2.0
Javier Vazquez,801,2.2,5.2,6.1
Chad Cordero,1816,0.9,1.0,0.1
Bill Lee,1007448,-0.2,0.5,1.1
Bruce Ruffin,1011294,2.7,2.5,0.4
Tom Glavine,90,2.0,2.0,2.9
Doug Waechter,1814,0.6,-0.9,0.6
Dennis Martinez,1008161,2.3,3.8,4.3
Byron McLaughlin,1008609,1.3,1.2,-1.1
Nino Espinosa,1003830,0.6,2.6,0.0
Jhoulys Chacin,2608,2.7,2.3,0.4
Dave Boswell,1001222,3.9,1.2,5.2
Joe Sparma,1012307,1.6,2.5,-0.6
Homer Bailey,8362,-0.4,1.1,1.6
Jason Marquis,105,1.2,0.3,0.0
Frank Viola,1013435,0.9,0.1,3.5
