Name,playerid,WAR28,WAR29,WAR30,WAR31
Mike Cuellar,1002853,0.8,6.1,5.1,3.3
Dan Petry,1010246,0.1,0.3,-0.6,0.8
Mel Stottlemyre,1012579,3.1,4.4,2.4,4.1
Brian Anderson,44,2.0,0.3,1.6,1.9
Jim Brower,313,0.4,0.3,0.6,0.7
Chad Qualls,2170,0.8,1.8,0.9,0.0
Tom Griffin,1005054,0.0,-0.6,-0.5,0.2
Jason Schmidt,1131,3.0,4.5,6.6,6.4
Steve Stone,1012573,0.9,1.7,2.2,0.3
Storm Davis,1003080,1.4,0.1,0.8,0.8
Andy McGaffigan,1008497,2.7,1.9,2.0,0.8
Vern Ruhle,1011297,0.4,2.2,1.2,1.2
Bobby Jones,1039,1.8,1.3,1.0,0.8
John Franco,874,1.3,1.3,1.3,0.5
Turk Wendell,975,-0.4,0.3,-0.2,0.7
Doug Bair,1000439,2.0,0.6,0.1,0.1
Charlie Leibrandt,1007492,4.1,3.7,4.4,3.4
Orlando Pena,1010150,1.8,3.4,1.3,0.9
Francisco Cordero,1243,2.1,2.7,1.4,1.3
Jerry Koosman,1007103,2.2,2.9,4.4,5.4
Curt Schilling,73,2.8,4.7,8.2,8.3
Kent Mercker,439,-0.3,0.9,2.3,1.1
Daisuke Matsuzaka,7775,0.3,2.1,0.2,-0.4
Scott Bankhead,1000510,0.5,0.1,0.2,-0.5
George Kontos,9486,-0.3,0.3,-0.2,0.2
Sergio Romo,9817,2.0,1.0,1.0,-0.2
Jose Bautista,1000694,0.9,0.0,-1.6,-0.3
Al Hrabosky,1006116,0.8,0.3,-0.7,0.3
Claude Osteen,1009878,1.9,5.5,3.1,1.6
Tom Seaver,1011708,7.3,5.1,7.8,6.8
Mike Stanton,1012421,0.3,1.8,1.1,1.4
Don Carman,1001967,1.2,-1.3,-0.9,-0.8
Jim Kern,1006868,2.4,2.0,4.7,-0.3
Bob Shaw,1011819,2.2,3.3,1.7,0.5
Sidney Ponson,161,1.0,0.5,-0.2,0.9
Jim Clancy,1002255,1.8,1.6,3.1,5.0
Ron Guidry,1005124,6.2,3.9,2.8,4.0
Jack Kralick,1007135,3.8,3.0,0.6,-0.1
Paul Reuschel,1010851,0.3,-0.3,0.7,0.6
Mike Magnante,929,0.4,0.2,0.1,0.3
Tony Watson,3132,0.6,1.3,1.3,-0.1
Ugueth Urbina,216,1.3,1.3,0.1,0.7
Brad Ziegler,7293,0.5,1.1,0.1,1.0
Craig Lefferts,1007476,0.8,-0.2,0.6,0.6
Al Fitzmorris,1004119,2.3,2.6,3.7,1.2
Danny Jackson,1006295,1.7,-0.5,2.8,3.2
Mike Proly,1010545,0.5,0.9,-0.3,0.2
Mark Williamson,1014022,0.6,1.6,0.7,0.0
Miguel Batista,46,2.0,-0.9,1.3,3.1
Terry Adams,946,4.3,1.9,1.5,0.2
