Name,playerid,WAR29
Freddy Garcia,1077,3.1
Brandon Lyon,1312,0.8
Mike Cuellar,1002853,6.1
Dan Petry,1010246,0.3
Mel Stottlemyre,1012579,4.4
Brian Anderson,44,0.3
Jim Brower,313,0.3
Billy Wagner,578,2.0
Valerio de los Santos,681,0.4
Chad Qualls,2170,1.8
Esmil Rogers,6317,0.0
Tom Griffin,1005054,-0.6
Ricky Horton,1006036,0.5
Mike Ignasiak,1006254,-0.2
Rollie Sheldon,1011855,0.7
Octavio Dotel,555,1.7
Jason Schmidt,1131,4.5
Joe Ausanio,1000369,-0.4
Bryce Florie,1004172,1.0
John Morris,1009219,0.5
Steve Stone,1012573,1.7
Todd Coffey,2467,-0.1
Jerry Augustine,1000365,-1.0
Storm Davis,1003080,0.1
Bob Galasso,1004441,0.2
Andy McGaffigan,1008497,1.9
Vern Ruhle,1011297,2.2
Bobby Jones,1039,1.3
Nick Masset,7267,0.3
Jim Austin,1000373,0.0
Victor Santos,446,0.9
John Franco,874,1.3
Turk Wendell,975,0.3
Matt Albers,4300,-0.5
Brian Wilson,6485,0.2
Doug Bair,1000439,0.6
Charlie Leibrandt,1007492,3.7
Orlando Pena,1010150,3.4
Keith Atherton,1000348,-0.2
Bruce Berenyi,1000864,2.5
Don Cardwell,1001941,2.2
Larry Christenson,1002215,1.3
Dick Hughes,1006152,3.0
Jimmy Jones,1006569,0.1
Jerry Reed,1010769,-0.2
Francisco Cordero,1243,2.7
Ed Glynn,1004789,0.4
Joey Jay,1006373,0.7
Jerry Koosman,1007103,2.9
Curt Schilling,73,4.7
Kent Mercker,439,0.9
Tyler Yates,1527,0.5
Daisuke Matsuzaka,7775,2.1
Rick Anderson,1000241,0.5
Scott Bankhead,1000510,0.1
Wally Whitehurst,1013896,1.2
George Kontos,9486,0.3
Sergio Romo,9817,1.0
Jose Bautista,1000694,0.0
Al Hrabosky,1006116,0.3
Claude Osteen,1009878,5.5
Tom Seaver,1011708,5.1
Mike Stanton,1012421,1.8
Jae Seo,895,0.0
Don Carman,1001967,-1.3
Jim Coates,1002374,0.8
Jim Kern,1006868,2.0
Jim Maloney,1008039,2.3
Bob Shaw,1011819,3.3
Sidney Ponson,161,0.5
Ron Villone,1010,2.4
Jim Clancy,1002255,1.6
Danny Coombs,1002582,-0.6
Ron Guidry,1005124,3.9
Jack Kralick,1007135,3.0
Paul Reuschel,1010851,-0.3
Allen Ripley,1010979,0.9
Mike Magnante,929,0.2
Pete Munro,1546,1.1
Tony Watson,3132,1.3
Jake McGee,7550,-0.3
Ugueth Urbina,216,1.3
Brad Ziegler,7293,1.1
Craig Lefferts,1007476,-0.2
Joe Mays,740,0.4
Al Fitzmorris,1004119,2.6
Danny Jackson,1006295,-0.5
Joe Niekro,1009582,0.1
Mike Proly,1010545,0.9
Bill Sampen,1011395,-0.1
Scott Sanders,1011423,0.2
Mark Williamson,1014022,1.6
Miguel Batista,46,-0.9
Terry Adams,946,1.9
Gavin Floyd,3886,1.9
Ryan Webb,7474,0.1
Hank Aguirre,1000087,2.1
Dennis Eckersley,1003660,3.2
John Hiller,1005817,0.2
Gaylord Perry,1010210,5.5
Rick Wise,1014155,2.7
Mike Stanton,849,0.7
Charlie Morton,4676,1.4
Tom Gorzelanny,6244,0.1
Jim Bouton,1001241,0.0
Kelly Downs,1003453,1.0
Todd Frohwirth,1004374,1.1
Tom Hausman,1005505,-0.1
Al Jackson,1006288,2.3
Geoff Zahn,1014410,0.7
Jon Lieber,287,4.5
Dave Borkowski,2002,0.4
Gustavo Chacin,2060,0.1
Don Drysdale,1003516,4.1
Jim McGlothlin,1008532,-1.1
Tim Scott,1011694,-0.3
Ed Whitson,1013911,2.6
Chad Harville,915,0.0
Josh Towers,1489,-0.5
