Name,playerid,WAR19,WAR20
Catfish Hunter,1006199,0.3,1.8
Jim Palmer,1009973,0.6,2.0
Mike McQueen,1008680,0.3,0.1
Vida Blue,1001094,-1.1,1.5
Bruce Robbins,1011019,0.7,-0.8
Don Gullett,1005134,0.9,2.6
Ray Sadecki,1011360,1.4,1.8
Felix Hernandez,4772,2.3,3.3
Bert Blyleven,1001098,3.6,7.5
Wally Bunker,1001652,2.6,1.7
Larry Dierker,1003288,2.4,2.1
Billy McCool,1008409,2.1,1.5
Dwight Gooden,1004852,8.3,8.9
Jose Rijo,349,0.6,1.3
Gary Nolan,1009616,5.3,2.3
Edwin Nunez,1009658,0.1,0.3
Terry Forster,1004236,0.5,2.3
Sam McDowell,1008476,0.1,0.6
Rick Ankiel,1142,1.1,3.4
