Name,playerid,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37
John Franco,874,1.0,1.4,1.5,1.1,1.3,1.3,1.3,0.5,-0.5,1.0,0.8,1.2,1.3,0.9
Curt Schilling,73,0.9,4.2,4.5,0.8,2.8,4.7,8.2,8.3,3.3,4.6,7.2,9.3,5.6,6.5
Tom Seaver,1011708,4.4,8.3,9.1,5.6,7.3,5.1,7.8,6.8,6.2,4.4,3.9,0.4,1.8,0.3
Dennis Eckersley,1003660,4.4,2.9,3.2,3.1,0.8,3.2,4.3,3.7,3.4,2.3,1.7,3.2,1.7,3.1
Gaylord Perry,1010210,-0.3,3.6,2.3,7.3,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0,5.1
Mike Stanton,849,0.8,0.1,0.3,0.3,-0.1,0.7,1.4,0.1,1.5,1.6,1.7,1.2,0.0,0.6
Doyle Alexander,1000122,1.2,1.3,1.7,1.4,1.2,2.9,1.6,-0.3,1.0,5.0,4.0,3.9,3.2,2.6
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7,0.6
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3,1.6
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8,2.7
Sparky Lyle,1007859,1.3,0.6,0.2,1.5,1.5,2.0,2.0,0.8,2.5,0.5,0.6,0.1,-0.2,-0.1
Jim Palmer,1009973,6.2,4.6,4.4,4.6,1.9,6.9,4.2,5.5,4.4,2.6,1.8,0.2,3.0,0.5
Danny Darwin,1002996,2.5,1.7,1.0,3.2,3.7,1.3,3.2,2.6,1.0,1.6,2.8,-0.1,3.1,2.9
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8,3.0,4.2,2.5,1.6,0.2,0.5
Mike Torrez,1013134,-0.4,2.2,1.0,2.4,2.4,3.3,2.3,3.3,3.3,2.6,1.2,1.2,0.7,0.0
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3,2.2,0.6,0.7,0.9,0.7,-0.6
Andy Pettitte,840,4.6,7.2,3.2,2.6,3.9,5.8,3.9,5.1,1.9,5.8,3.4,4.0,3.3,3.4
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4,2.1,-0.1,0.0,0.6,2.2,2.5
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1,3.2,4.9,1.5,1.2,0.9,0.8
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2,2.8,4.4,3.1,4.3,1.9,1.8
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0,2.0,0.5,0.5,1.3,1.6,0.3
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3,8.6,8.8,9.8,5.2,6.4,4.5
John Candelaria,1001909,2.7,2.2,4.0,0.4,3.7,4.5,3.3,1.8,3.0,2.4,3.4,0.3,0.7,0.7
