Name,playerid,WAR21,WAR22,WAR23,WAR24
Tony Cloninger,1002359,1.1,0.1,2.7,3.8
Roger Erickson,1003812,3.9,0.4,3.2,1.2
Tommy John,1006515,1.1,3.0,3.8,2.6
Milt Pappas,1009989,3.0,1.4,1.2,2.1
Phil Hughes,7450,1.0,0.4,2.3,3.1
Jerry Reuss,1010853,2.0,1.4,2.8,4.0
Chris Tillman,5279,-0.2,-0.3,1.1,1.3
Gary Nolan,1009616,1.7,3.2,4.9,2.9
Dave Rozema,1011273,3.1,0.8,1.2,1.1
Scott Scudder,1011699,-0.3,-0.2,0.4,0.8
Jamey Wright,715,1.0,0.6,1.5,1.0
Madison Bumgarner,5524,4.3,2.6,3.5,3.6
Larry Bearnarth,1000723,0.1,-0.7,-0.8,-1.0
Roger Clemens,815,3.4,2.3,7.1,8.4
Fernando Valenzuela,1013327,6.1,4.2,5.2,5.4
Steve Avery,1706,2.6,3.5,5.1,2.5
Rick Porcello,2717,1.9,2.3,3.0,2.9
Jerry Walker,1013523,-0.2,-0.4,-0.9,-1.1
Al Santorini,1011444,2.0,-0.6,0.5,2.1
Carlos Zambrano,305,1.1,4.7,4.7,4.2
Scott Kazmir,4897,3.6,3.6,4.8,2.3
Chris Volstad,9901,1.5,0.0,1.3,0.9
Denny McLain,1008603,4.0,0.9,1.1,7.2
Byung-Hyun Kim,61,1.0,1.4,2.5,2.3
Brett Myers,962,-0.1,2.3,1.1,3.4
Salomon Torres,1628,-0.1,0.2,-0.4,0.7
Cal Koonce,1007101,1.6,0.1,0.7,1.4
Eduardo Rodriguez,1011102,0.2,0.3,-0.1,0.0
Frank Tanana,1012818,7.2,6.0,5.8,2.8
Bob Moose,1009134,3.8,3.2,1.3,5.2
Jake Peavy,1051,1.7,0.8,4.1,5.4
Jon Garland,232,0.3,2.2,1.7,1.9
Pat Mahomes,291,0.7,-0.3,-0.2,-1.0
Jack Fisher,1004090,2.5,2.5,0.5,0.1
Steve Dunning,1003572,0.2,0.2,-0.3,-0.3
Terry Forster,1004236,3.1,3.0,0.8,1.3
Pete Smith,1012191,0.2,1.9,2.0,0.8
Jimmy Gobble,1791,0.6,0.8,-0.3,0.8
Nolan Ryan,1011348,0.6,1.7,1.1,0.6
Jerry Stephenson,1012494,0.3,0.5,0.3,0.5
Neil Allen,1000154,1.3,0.8,0.7,0.6
Bruce Kison,1006978,1.0,1.0,0.2,0.9
Sam McDowell,1008476,3.7,8.7,4.4,2.8
Jim Merritt,1008789,0.9,2.7,4.6,4.4
Bret Saberhagen,1011355,6.2,3.5,5.2,5.5
Jordan Lyles,7593,0.8,0.4,1.4,0.9
Michael Wacha,14078,1.2,2.0,2.2,1.8
Jair Jurrjens,5556,0.2,3.3,3.4,0.9
Scott Sanderson,1011422,1.3,2.5,2.7,2.2
Kelvim Escobar,1298,0.8,1.9,2.3,1.9
Nathan Eovaldi,9132,0.2,1.2,1.5,3.3
Pete Falcone,1003910,0.9,2.5,-0.4,-0.8
Bill Travers,1013161,-0.5,0.0,1.3,0.3
Ray Culp,1002869,2.1,0.4,2.4,-0.5
Jaret Wright,415,1.3,2.1,1.0,0.6
Pedro Martinez,200,1.7,3.4,3.0,5.1
