Name,playerid,WAR25,WAR26,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32,WAR33,WAR34,WAR35,WAR36,WAR37,WAR38
Roger Clemens,815,9.2,5.1,8.2,8.5,7.6,3.7,4.2,2.4,6.8,10.7,8.2,3.2,3.6,5.6
Jim Perry,1010213,1.0,1.9,1.5,0.6,1.7,2.9,1.8,2.3,5.5,6.7,0.3,2.3,1.9,4.3
Kevin Brown,642,2.4,1.5,6.3,4.4,3.4,4.5,6.7,6.5,9.6,7.3,6.8,3.0,0.5,6.1
Dan Plesac,1319,2.3,1.9,0.9,0.9,0.0,0.6,-0.2,0.3,1.0,1.7,0.6,1.3,0.6,0.4
Frank Tanana,1012818,1.3,3.5,1.2,2.6,2.6,2.1,3.6,2.3,4.1,2.1,3.1,0.8,1.9,0.5
Chuck Finley,384,2.4,3.8,4.8,2.9,1.3,5.1,3.4,4.4,5.0,2.9,4.4,4.4,4.4,2.1
Tim Hudson,921,5.1,4.7,5.8,4.6,1.8,2.5,4.9,1.9,0.6,1.7,2.8,1.6,1.6,1.6
Tug McGraw,1008545,0.7,2.0,1.6,-0.1,-0.2,0.7,1.3,1.1,1.2,0.3,2.5,0.6,0.3,0.2
Nolan Ryan,1011348,5.4,8.7,6.8,2.4,5.3,6.6,5.0,5.1,4.5,3.8,3.5,3.4,4.0,4.4
Steve Renko,1010835,1.4,1.0,-0.4,2.7,3.7,0.7,3.3,1.2,2.0,2.3,1.8,1.0,2.1,1.6
Jack Morris,1009211,3.7,2.7,2.2,6.2,4.0,4.7,4.0,4.1,4.0,1.4,2.9,4.1,3.7,1.7
Randy Johnson,60,1.6,2.0,2.6,3.4,7.0,5.2,9.5,1.6,7.0,7.6,9.5,9.6,10.4,8.1
Ron Reed,1010773,2.6,3.9,1.5,2.9,3.1,2.5,3.3,6.9,2.2,1.7,1.8,0.5,0.9,0.2
