Name,playerid,WAR33,WAR34
Freddy Garcia,1077,1.5,1.7
Mike Cuellar,1002853,4.8,2.8
Billy Wagner,578,2.1,1.9
Chris Capuano,1701,2.9,1.4
Chad Qualls,2170,-0.4,0.5
Joe Nuxhall,1009665,1.5,5.4
Octavio Dotel,555,0.3,0.7
Vern Ruhle,1011297,0.6,1.0
Neal Cotts,1797,1.8,0.6
John Franco,874,1.0,0.8
Turk Wendell,975,0.4,-0.7
Doug Bair,1000439,-0.2,0.3
Charlie Leibrandt,1007492,3.2,3.6
Don Cardwell,1001941,0.6,-0.5
Jerry Reed,1010769,-0.2,0.3
Francisco Cordero,1243,0.7,1.3
Jerry Koosman,1007103,4.9,4.6
Curt Schilling,73,4.6,7.2
Joe Nelson,108,0.9,-0.5
Jim Gott,1004898,1.8,-0.1
Claude Osteen,1009878,2.1,1.2
Tom Seaver,1011708,4.4,3.9
Jim Coates,1002374,0.2,-0.2
Bob Shaw,1011819,2.3,0.7
Ron Villone,1010,1.2,0.3
Jim Clancy,1002255,0.4,0.5
Ron Guidry,1005124,2.8,4.9
Mike Magnante,929,0.3,1.0
Jamie Moyer,1091,1.6,3.2
Clem Labine,1007230,0.6,1.1
Brad Ziegler,7293,0.5,0.0
Dick Donovan,1003395,3.4,4.2
Craig Lefferts,1007476,1.4,2.6
Whitey Ford,1004227,4.9,5.2
Danny Jackson,1006295,0.3,0.4
Joe Niekro,1009582,1.4,1.8
Mark Williamson,1014022,1.2,0.3
Miguel Batista,46,1.6,0.5
Todd Williams,805,0.1,0.6
Hank Aguirre,1000087,1.8,2.4
Dennis Eckersley,1003660,2.3,1.7
John Hiller,1005817,1.6,1.5
Gaylord Perry,1010210,8.1,5.7
Rick Wise,1014155,3.2,1.1
Mike Stanton,849,1.6,1.7
Geoff Zahn,1014410,2.7,3.6
Bob Patterson,1010055,-0.3,0.3
Ed Whitson,1013911,3.0,2.7
Jason Isringhausen,1158,-0.9,0.6
Terry Leach,1007427,1.0,0.3
D.J. Carrasco,1666,0.4,-0.4
Dick Tidrow,1013056,0.4,-0.1
Mike Morgan,67,2.8,0.3
Jeremy Affeldt,583,0.8,-0.5
Jason Frasor,1906,0.1,0.2
Bill Gullickson,1005136,0.6,0.7
Julian Tavarez,541,0.0,0.8
Al Leiter,883,3.3,4.8
Doyle Alexander,1000122,5.0,4.0
Randy Moffitt,1009027,-0.3,0.4
J.J. Putz,1795,1.5,1.4
Bill Henry,1005665,0.5,0.0
Grant Jackson,1006298,0.9,-0.5
Troy Percival,29,0.2,0.1
Kent Tekulve,1012905,0.0,1.2
Armando Reynoso,72,1.4,2.1
Lindy McDaniel,1008441,1.3,1.8
Jamie Walker,502,0.3,0.5
Roberto Hernandez,3273,0.1,0.2
Woodie Fryman,1004381,1.7,0.9
Dave LaRoche,1007354,0.2,0.7
Erik Bedard,126,1.4,1.4
Kenny Rogers,1277,4.5,3.5
Gary Lavelle,1007389,1.3,2.1
Sparky Lyle,1007859,0.5,0.6
Kevin Appier,3,3.4,2.6
Charlie Hough,1006050,1.4,3.1
Steve Barber,1000530,0.5,-0.3
Jim Palmer,1009973,2.6,1.8
Matt Belisle,1837,1.3,0.4
Curt Simmons,1011980,2.4,5.1
Denny Neagle,441,1.5,-0.4
Hideo Nomo,666,2.9,3.3
Rick Reed,750,1.5,2.6
Kirk Rueter,1128,0.7,0.0
Danny Darwin,1002996,1.6,2.8
Jake Westbrook,412,0.7,2.0
Ryan Dempster,517,2.5,2.6
Dave Burba,1239,4.2,2.5
Mike Henneman,1005656,1.7,0.4
Paul Splittorff,1012346,2.4,0.7
Todd Jones,436,0.1,0.9
Hisashi Iwakuma,13048,2.7,1.8
Billy Hoeft,1005893,0.8,0.2
John Tudor,1013215,0.9,3.1
Matt Herges,780,1.6,0.0
Juan Agosto,1000084,-0.4,0.6
Ramon Ortiz,27,0.2,0.1
Tyler Walker,901,0.2,0.2
Gil Heredia,1005686,4.2,2.6
Roger McDowell,1008475,0.0,0.9
A.J. Burnett,512,1.4,0.6
Ted Abernathy,1000020,-0.6,1.8
Jeff Parrett,1010019,0.5,0.9
Howie Reed,1010766,0.1,-0.7
Nate Snell,1012228,-0.1,0.0
Mike Myers,68,0.3,-0.3
Mike Torrez,1013134,2.6,1.2
Dick Drago,1003475,0.6,2.5
Jason Grimsley,602,0.9,0.8
Bob Miller,1008877,-0.3,-0.2
Diego Segui,1011725,0.6,0.7
Al Downing,1003450,1.1,0.3
Rick Mahler,1007988,1.0,4.3
Jeff Suppan,633,0.0,-0.4
Jim Lonborg,1007724,2.1,3.2
Johnny Podres,1010406,0.5,-0.2
Bob Purkey,1010572,1.3,1.9
Jim Slaton,1012054,-1.6,0.6
Andy Benes,1144,-1.5,0.7
Ryne Duren,1003586,0.8,0.4
Clay Carroll,1001997,1.8,1.2
Andy Pettitte,840,5.8,3.4
Burt Hooton,1006005,0.3,0.6
Scott Linebrink,564,-0.1,-0.5
David Wells,855,3.4,4.3
Mike Jackson,732,1.9,0.3
Doug Davis,1244,1.0,-0.1
Joe Nathan,1122,1.9,1.8
Bob Ojeda,1009756,2.1,1.4
Jim Rooker,1011183,2.2,1.6
Tim Worrell,1139,0.9,1.0
Guillermo Mota,1467,0.2,0.1
Bob Forsch,1004233,-0.1,0.0
Dennis Springer,672,-1.0,1.5
Dave Stewart,1012519,4.9,1.5
Derek Lowe,199,4.4,3.1
Dennis Lamp,1007284,0.5,0.5
Mike Marshall,1008144,0.4,0.8
Bob Bruce,1001573,0.7,0.2
Joe Hoerner,1005895,0.4,0.7
Wilbur Wood,1014248,3.4,1.2
Paul Quantrill,669,1.4,1.5
Bob Gibson,1004662,8.8,9.8
Bill Krueger,1007175,2.0,1.9
Phil Regan,1010785,0.0,0.2
Tanyon Sturtze,1230,0.3,-0.2
John Candelaria,1001909,2.4,3.4
Bruce Chen,769,1.2,1.4
Matt Lindstrom,4604,1.0,-0.2
Ken Forsch,1004234,2.4,3.1
Ted Lilly,833,3.7,2.5
Ray Herbert,1005684,4.9,0.7
Livan Hernandez,1116,1.0,1.8
Kevin Millwood,106,3.2,2.1
Randy Choate,813,0.2,0.4
Wandy Rodriguez,2586,2.8,0.3
Joe Boever,1001118,-0.2,-0.3
Kevin Gross,1005088,3.4,0.9
Fritz Peterson,1010227,1.2,0.9
Bryn Smith,1012104,3.2,2.4
Dave Mlicki,569,-1.3,0.6
David Cone,1680,2.2,4.9
Nelson Briles,1001432,0.4,0.1
Bob Humphreys,1006184,0.4,0.1
Luis Tiant,1013054,6.5,4.2
Bud Black,1001007,2.4,0.8
Steve Farr,1003953,1.6,1.4
Ron Perranoski,1010201,1.2,0.8
Marty Pattin,1010074,1.4,0.3
Walt Terrell,1012924,2.7,0.6
Bartolo Colon,375,0.3,1.0
Ray Sadecki,1011360,0.8,0.6
Lee Smith,1012175,2.0,1.2
Kyle Lohse,739,3.3,1.7
Steve Ontiveros,1009826,2.3,2.4
Giovanni Carrara,643,0.7,-0.4
Pedro Borbon,1289,0.3,-0.4
Oliver Perez,1514,0.5,0.1
Hiroki Kuroda,3283,3.3,2.1
Bert Blyleven,1001098,5.0,7.0
Orel Hershiser,1005741,2.3,3.0
Rich Gossage,1004894,2.6,0.7
Dave Smith,1012117,0.9,0.7
Javier Vazquez,801,0.1,3.4
C.J. Wilson,3580,0.5,1.5
Bill Lee,1007448,0.3,0.8
Tom Glavine,90,4.2,4.7
Mark Redman,491,0.3,0.1
Dennis Martinez,1008161,2.2,3.1
Scott Schoeneweis,33,-0.4,-0.4
Larry Gura,1005150,2.7,1.9
Jim Mecir,930,0.1,0.6
Hideki Okajima,7763,0.6,0.1
Jim Brewer,1001406,1.1,0.6
Eddie Guardado,727,0.2,0.8
Randy Myers,1009427,1.3,2.0
Matt Thornton,1918,2.2,1.4
Jimmy Key,1006885,4.0,0.6
Don Mossi,1009250,3.1,1.0
Jason Marquis,105,-0.2,-1.3
Ryan Vogelsong,1011,1.7,1.9
