Name,playerid,WAR19,WAR20,WAR21,WAR22
Catfish Hunter,1006199,0.3,1.8,5.2,1.4
Vida Blue,1001094,-1.1,1.5,8.8,2.1
Don Gullett,1005134,0.9,2.6,1.0,2.5
Ray Sadecki,1011360,1.4,1.8,0.7,1.2
Felix Hernandez,4772,2.3,3.3,3.5,3.6
Bert Blyleven,1001098,3.6,7.5,5.9,10.8
Wally Bunker,1001652,2.6,1.7,1.2,0.5
Larry Dierker,1003288,2.4,2.1,1.9,7.3
Billy McCool,1008409,2.1,1.5,1.9,0.6
Dwight Gooden,1004852,8.3,8.9,4.8,4.5
Jose Rijo,349,0.6,1.3,1.7,0.8
Gary Nolan,1009616,5.3,2.3,1.7,3.2
Edwin Nunez,1009658,0.1,0.3,0.7,0.1
Terry Forster,1004236,0.5,2.3,3.1,3.0
Sam McDowell,1008476,0.1,0.6,3.7,8.7
