Name,playerid,WAR22,WAR23,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29
Ray Sadecki,1011360,1.2,3.7,1.2,-0.3,4.0,4.6,0.7,1.0
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8
Felix Hernandez,4772,3.6,7.0,6.8,5.3,6.6,6.1,5.6,2.7
Bert Blyleven,1001098,10.8,8.5,6.2,6.7,4.9,5.2,3.4,3.9
Anibal Sanchez,3284,1.9,0.0,0.3,0.7,4.2,3.7,3.5,5.8
Rich Gossage,1004894,0.7,4.0,2.0,4.2,2.4,1.0,3.2,1.4
Javier Vazquez,801,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2
Bruce Ruffin,1011294,2.7,2.5,0.4,0.7,0.9,2.2,-0.3,1.7
Tom Glavine,90,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0
Greg Swindell,76,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2
Greg Maddux,104,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9
Brian Meadows,998,1.7,0.3,0.7,-0.1,0.7,0.8,0.8,0.3
Mike Hampton,430,2.3,2.4,3.1,2.3,4.9,4.6,1.9,0.3
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6
Dave Stieb,1012532,4.3,2.9,4.8,5.1,5.6,4.5,0.8,2.5
Dick Ruthven,1011330,1.4,3.4,0.4,3.9,2.1,3.4,1.6,3.2
Wilson Alvarez,1193,-0.6,2.7,2.8,1.5,4.2,3.8,1.3,1.8
Dave Righetti,1010958,3.5,2.9,5.4,2.6,2.7,3.0,1.2,1.4
Bob Stanley,1012409,1.7,2.3,4.0,2.5,0.3,2.0,2.3,1.1
Ray Burris,1001729,1.4,0.3,2.4,2.8,2.1,1.8,0.1,0.6
Mike Moore,1009122,0.4,2.4,4.2,5.9,3.7,3.1,4.6,4.4
Ramon Martinez,1008193,4.9,2.9,1.1,1.9,1.9,2.2,2.0,1.3
Bob Welch,1013750,1.0,2.9,1.9,3.3,3.7,2.8,2.1,5.4
Josh Beckett,510,1.9,4.0,3.3,4.2,1.0,5.7,4.3,4.3
Arthur Rhodes,1097,2.0,-0.4,0.5,0.2,1.0,1.9,1.0,-0.4
Ismael Valdez,1283,4.4,3.9,2.2,2.2,0.4,2.0,2.4,0.2
Gene Nelson,1009501,-0.4,0.6,0.0,1.4,1.8,0.5,1.0,0.6
Chris Short,1011931,0.4,0.7,1.1,3.4,5.6,6.5,3.3,3.4
